time,S,R,F,T,dose_u1
0,22500,7500,10000,30000,0
0.2,25317.015582978,8521.37695981317,10909.8957942929,33838.3925427912,0
0.4,28438.018184204,9664.85775217072,11889.8148257068,38102.8759363747,0
0.6,31912.8362484667,10952.4330286396,12949.1340505606,42865.2692771062,0
0.8,35778.3421061709,12401.5342591184,14093.8711198325,48179.8763652893,0
1,40070.3187382084,14029.9873590537,15329.4188981518,54100.3060972622,0.25
1.2,44678.7174704076,15878.6071614504,16671.1984459841,60557.324631858,0.25
1.4,49677.0397390501,17931.5341674287,18107.146475973,67608.5739064788,0.25
1.6,55107.4953294647,20221.5720244605,19648.3317111356,75329.0673539252,0.25
1.8,60991.0230845934,22773.6471125604,21301.3259066017,83764.6701971538,0.25
2,67337.6823739672,25609.9142571395,23070.8947024595,92947.5966311067,0.5
2.2,73717.3194260019,28791.6555275079,24975.2016322391,102508.97495351,0.5
2.4,80405.0452743927,32284.830885048,26995.0390927384,112689.876159441,0.5
2.6,87395.3375630709,36130.5553738391,29140.520606373,123525.89293691,0.5
2.8,94661.8053056552,40360.579458015,31417.0580894145,135022.38476367,0.5
3,102164.013905374,44998.4394913763,33826.4965562331,147162.45339675,0.25
3.2,110930.774382045,50117.3146182745,36386.5574990794,161048.08900032,0.25
3.4,119989.776938263,55640.5569922488,39069.6615258702,175630.333930512,0.25
3.6,129299.04860558,61594.3355475852,41879.3399338416,190893.384153166,0.25
3.8,138803.039521846,68003.2677664166,44817.8051801152,206806.307288263,0.25
4,148427.588584167,74872.3662725161,47881.1330699786,223299.954856683,0
4.2,160607.725590736,82244.0008594078,51082.3122083436,242851.726450144,0
4.4,173060.059307401,89980.6876591434,54388.0481723996,263040.746966544,0
4.6,185683.564155779,98037.4215615332,57786.3398839119,283720.985717312,0
4.8,198393.389386523,106408.265132758,61276.4104271531,304801.654519281,0
5,211078.567609277,115053.357823755,64847.687521645,326131.925433032,0
5.2,223587.944786858,123961.112130083,68497.4756305113,347549.056916941,0
5.4,235840.816226503,133033.679695499,72196.74271621,368874.495922002,0
5.6,247759.662638854,142219.496973856,75930.0001732998,389979.15961271,0
5.8,259222.302476484,151487.479077486,79686.586975504,410709.78155397,0
6,270141.954529887,160796.714784459,83451.2890110971,430938.669314346,0
6.2,280342.613041929,170109.129940654,87205.4007399117,450451.742982583,0
6.4,289906.463125371,179392.451645009,90934.9112020531,469298.91477038,0
6.6,298829.960543601,188623.0156378,94627.7532788209,487452.9761814,0
6.8,307021.752991369,197774.718226515,98266.6479599091,504796.471217884,0
7,314460.876693376,206830.945196113,101837.374666604,521291.821889489,0
