time,S,R,F,T,dose_u1
0,30000,10000,10000,40000,0
0.2,33662.7162539844,11328.4386879022,10910.2073237889,44991.1549418867,0
0.4,37697.8685906392,12807.1576562036,11890.3226237529,50505.0262468428,0
0.6,42161.1796620473,14461.1732206022,12949.6973024297,56622.3528826495,0
0.8,47092.0271527463,16309.7443558366,14094.5683526647,63401.7715085828,0
1,52523.6913806461,18370.4456114174,15330.1788584167,70894.1369920635,0.25
1.2,58294.0543509625,20689.1436410938,16672.7517749769,78983.1979920563,0.25
1.4,64494.1764655569,23241.0720804272,18109.367058299,87735.2485459842,0.25
1.6,71156.536718819,26057.9710337441,19650.7364853444,97214.5077525631,0.25
1.8,78290.5945447137,29163.333995901,21303.95679311,107453.928540615,0.25
2,85889.6305428933,32574.5618765325,23073.7585378755,118464.192419426,0.5
2.2,93375.6937513659,36352.9715491734,24979.7295336182,129728.665300539,0.5
2.4,101110.785988834,40452.5893044588,27001.4530006778,141563.375293293,0.5
2.6,109061.850850522,44903.2810005618,29147.4144348555,153965.131851084,0.5
2.8,117181.791315886,49731.8435124245,31424.3571619387,166913.634828311,0.5
3,125409.260178895,54952.4886240312,33834.1890728218,180361.748802927,0.25
3.2,134959.293484048,60627.3098819445,36397.3317262961,195586.603365992,0.25
3.4,144656.366902022,66667.201097113,39084.7471409185,211323.567999135,0.25
3.6,154430.085318891,73071.2122921792,41895.3664446506,227501.29761107,0.25
3.8,164207.044382217,79859.0426850004,44834.5162418654,244066.087067217,0.25
4,173902.28262574,87025.483152001,47898.5190535201,260927.765777741,0
4.2,186297.058777055,94577.1300847142,51101.1107013209,280874.188861769,0
4.4,198749.149324467,102381.70818687,54408.699981592,301130.857511336,0
4.6,211164.229641064,110390.74674744,57807.8482485331,321554.976388504,0
4.8,223442.477618229,118587.557499287,61298.4637404982,342030.035117516,0
5,235485.253792512,126934.847643465,64870.4174073451,362420.101435976,0
5.2,247129.642636327,135407.565879812,68520.5765723088,382537.208516139,0
5.4,258366.325196417,143945.632991655,72220.1277941046,402311.958188072,0
5.6,269151.496379768,152514.78785744,75953.5831095785,421666.284237208,0
5.8,279380.734449464,161090.066276377,79710.269711985,440470.800725841,0
6,288998.927540401,169646.567874485,83474.803227573,458645.495414886,0
6.2,297861.984112562,178159.332545326,87228.797737581,476021.316657888,0
6.4,306089.474784233,186622.403802226,90958.0986842832,492711.878586459,0
6.6,313699.329111094,195026.77152424,94650.6465844564,508726.100635334,0
6.8,320622.538547695,203358.787843746,98289.1581073304,523981.326391441,0
7,326856.055250985,211614.076301826,101859.417872933,538470.131552811,0
7.2,332303.594773717,219782.182439745,105334.587395118,552085.777213461,0
7.4,337132.788368928,227882.181494487,108721.139588443,565014.969863415,0
7.6,341388.649983627,235917.462810261,112014.659071665,577306.112793888,0
7.8,345031.862436614,243883.579174964,115197.49839603,588915.441611579,0
8,348081.359893313,251783.990411841,118261.412200253,599865.350305154,0
8.2,350475.755788296,259615.749064277,121180.237598478,610091.504852573,0
8.4,352368.509825208,267396.987973176,123977.52108433,619765.497798384,0
8.6,353804.954718894,275131.686949812,126656.489694328,628936.641668706,0
8.8,354761.709416367,282817.357290873,129203.336129312,637579.06670724,0
9,355260.430071352,290456.360354502,131616.410699111,645716.790425854,0
9.2,355260.550521385,298045.412842473,133875.383016341,653305.963363859,0
9.4,354883.532102857,305596.197800351,136011.696109946,660479.729903208,0
9.6,354166.833739448,313110.399714952,138033.073031621,667277.233454401,0
9.8,353096.337830316,320584.355980477,139930.429333225,673680.693810794,0
10,351691.168337282,328017.896329824,141706.38057379,679709.064667106,0
10.2,349925.323686346,335405.13951185,143347.140022155,685330.463198197,0
10.4,347889.564918403,342754.688955339,144883.566063606,690644.253873742,0
10.6,345613.028607289,350067.020971728,146324.456471824,695680.049579017,0
10.8,343088.188896715,357337.135882402,147664.43453224,700425.324779116,0
11,340331.078075104,364563.539753392,148907.703352872,704894.617828496,0
11.2,337326.936347124,371738.202645736,150045.583438367,709065.13899286,0
11.4,334140.598731923,378869.874008491,151103.72056058,713010.472740414,0
11.6,330793.854271384,385959.019157478,152089.898956932,716752.873428862,0
11.8,327284.004626807,392999.8151161,153001.102191541,720283.819742907,0
12,323624.07531243,399990.450318154,153841.42897743,723614.525630584,0
12.2,319807.72734506,406921.501467522,154605.589895863,726729.228812582,0
12.4,315878.606891423,413803.124470765,155312.84894119,729681.731362188,0
12.6,311852.253468487,420636.247842116,155969.239251466,732488.501310603,0
12.8,307729.308600363,427414.564512453,156573.094022335,735143.873112816,0
13,303519.99010635,434136.324885595,157127.721198624,737656.314991946,0
13.2,299223.934209613,440791.139059658,157629.921630797,740015.073269271,0
13.4,294868.06321164,447390.699817458,158093.274858576,742258.763029098,0
13.6,290462.826301437,453936.445780375,158522.107166653,744399.272081811,0
13.8,286011.064349569,460421.71968733,158915.488828779,746432.784036899,0
14,281520.472455965,466844.904529731,159275.812041719,748365.376985696,0
14.2,276994.942213586,473194.823195728,159601.19023743,750189.765409314,0
14.4,272448.619950114,479484.52582655,159900.788284891,751933.145776665,0
14.6,267888.003117663,485715.89507872,160177.564596894,753603.898196383,0
