time,S,R,F,T,dose_u1
7.2,118240.427849813,300787.439926975,105300.573948779,419027.867776789,1.5
7.4,111403.762741294,323405.954602095,108688.104115725,434809.717343389,1.5
7.6,104369.54019237,346743.217759147,111982.684467997,451112.757951517,1.5
7.8,97187.7748286036,370743.353817767,115166.662982493,467931.12864637,1.5
8,89932.8475312543,395255.056865021,118231.942580541,485187.904396276,1.5
8.2,82695.9096416977,420115.127520873,121152.021134253,502811.03716257,1.5
8.4,75558.9100266707,445048.303751049,123944.419477886,520607.21377772,1.5
8.6,68572.7788016234,469874.554054638,126621.043514123,538447.332856262,1.5
8.8,61815.7961299065,494394.017947226,129169.556807661,556209.814077133,1.5
9,55353.4186488095,518406.043203401,131584.392573982,573759.461852211,1.5
9.2,49291.56557384,541589.661746043,133847.236994053,590881.227319883,1.5
9.4,43591.624976408,563938.189923118,135988.827563899,607529.814899526,1.5
9.6,38277.8828971609,585333.940791955,138012.191632707,623611.823689116,1.5
9.8,33397.7187976542,605593.972489755,139910.856893897,638991.691287409,1.5
10,28959.7472724127,624626.715559662,141688.05486929,653586.462832074,1.25
10.2,25376.9970631312,642221.615184082,143336.007755535,667598.612247213,1.25
10.4,22092.6309034439,658570.197272914,144881.87884173,680662.828176358,1.25
10.6,19122.6806390731,673612.405490048,146323.766235803,692735.086129121,1.25
10.8,16466.3686417948,687349.334383693,147663.75176316,703815.703025488,1.25
11,14109.1933640418,699833.460514171,148907.003244862,713942.653878213,1
11.2,12287.8718710434,711032.68638587,150050.765874852,723320.558256913,1
11.4,10643.760328825,721187.098939167,151116.116911899,731830.859267992,1
11.6,9179.94523511251,730304.163057638,152102.058462325,739484.108292751,1
11.8,7886.96978246482,738457.08309608,153012.276306325,746344.052878545,1
12,6751.60535493549,745732.382569745,153851.572413625,752483.98792468,0.75
12.2,5914.9187708937,752173.666228541,154619.069284596,758088.584999434,0.75
12.4,5160.28329690413,757945.976618753,155330.631148421,763106.259915657,0.75
12.6,4487.80213175462,763074.451836559,155986.091238596,767562.253968314,0.75
12.8,3892.21093073066,767621.79874629,156588.544952963,771514.00967702,0.75
13,3366.92398337334,771653.588990766,157141.78800146,775020.51297414,0.5
13.2,3005.85025911591,775224.838088917,157644.988391656,778230.688348033,0.5
13.4,2675.73302183884,778415.051412431,158110.182740366,781090.78443427,0.5
13.6,2376.43774963514,781247.950404705,158537.922499784,783624.38815434,0.5
13.8,2106.67504696076,783757.666480338,158929.965022388,785864.341527298,0.5
14,1864.24732720843,785983.632703345,159289.01794205,787847.880030554,0.25
14.2,1721.23365087082,787977.213858809,159613.350688209,789698.44750968,0.25
14.4,1586.98612019965,789753.360680114,159912.015586341,791340.346800313,0.25
14.6,1460.83838109016,791345.878838185,160187.856834264,792806.717219275,0.25
14.8,1343.25678398466,792760.292635025,160440.402934244,794103.54941901,0.25
15,1233.90595946851,794018.202525122,160671.345815368,795252.10848459,0
15.2,1200.25028292385,795182.023126555,160879.491643915,796382.273409479,0
15.4,1167.24314974649,796215.451809951,161070.893005095,797382.694959697,0
15.6,1134.87234150889,797139.918695712,161247.507609946,798274.791037221,0
15.8,1103.21925441612,797959.087378179,161409.02716452,799062.306632595,0
16,1072.30214920461,798686.22832885,161556.565119466,799758.530478055,0
16.2,1042.24900524771,799322.393759695,161689.388117901,800364.642764943,0
16.4,1012.89590397902,799895.51205021,161811.424008414,800908.407954189,0
16.6,984.206422046568,800415.149305363,161923.948606461,801399.35572741,0
16.8,956.244243911931,800882.282473553,162026.777762327,801838.526717465,0
17,929.009134695272,801302.707297594,162120.639696914,802231.71643229,0
17.2,902.608066403489,801676.008185407,162205.078076795,802578.616251811,0
17.4,876.870714103802,802016.014639203,162282.617596491,802892.885353307,0
17.6,851.755337030748,802327.383532243,162354.080115229,803179.138869273,0
17.8,827.314760204226,802610.240850729,162419.353699873,803437.555610934,0
18,803.542457291356,802867.347649534,162478.908474768,803670.890106825,0
18.2,780.529938303495,803098.040084566,162532.459069182,803878.570022869,0
18.4,758.117631726574,803309.785787218,162581.617819936,804067.903418945,0
18.6,736.265054778462,803505.062362285,162626.910307178,804241.327417063,0
18.8,715.017081085101,803683.771261725,162668.267621311,804398.78834281,0
19,694.365354553886,803847.352934009,162705.990807816,804541.718288563,0
19.2,674.388742890683,803995.235128591,162739.900794344,804669.623871482,0
19.4,654.943603690718,804131.738401786,162771.023061908,804786.682005477,0
19.6,635.992908375565,804258.279770309,162799.692177293,804894.272678684,0
19.8,617.575127075666,804374.729473482,162825.865341243,804992.304600557,0
20,599.681774518406,804481.897740365,162849.734347625,805081.579514883,0
20.2,582.380954737133,804579.358535388,162871.186569111,805161.739490126,0
