0,10000,10000,10000
1,20914.483848694,20914.483848694,20914.483848694
2,38812.1614862691,38812.1614862691,38812.1614862691
3,63257.7587878007,63257.7587878007,63257.7587878007
4,90101.9739693352,90101.9739693352,90101.9739693352
5,114187.004013086,114187.004013086,114187.004013086
6,133230.427441496,133230.427441496,133230.427441496
7,147798.633345522,147798.633345522,147798.633345522
8,159186.949820493,159186.949820493,159186.949820493
9,168306.686135594,168306.686135594,168306.686135594
10,175648.805772667,175648.805772667,175648.805772667
