0,20000,20000,20000
1,43866.5772615151,43866.5772615151,43866.5772615151
2,84232.3266825808,84232.3266825808,84232.3266825808
3,140646.858939834,140646.858939834,140646.858939834
4,203256.032328766,203256.032328766,203256.032328766
5,258890.435587819,258890.435587819,258890.435587819
6,301247.550096924,301247.550096924,301247.550096924
7,331591.066428525,331591.066428525,331591.066428525
8,353473.098661239,353473.098661239,353473.098661239
9,369640.394920973,369640.394920973,369640.394920973
10,381724.254785346,381724.254785346,381724.254785346
