0,10000,10000,10000
1,15318.0328811265,15318.0328811265,15318.0328811265
2,23038.634717182,23038.634717182,23038.634717182
3,33761.5379583594,33761.5379583594,33761.5379583594
4,47772.9233492942,47772.9233492942,47772.9233492942
5,64690.7036143718,64690.7036143718,64690.7036143718
6,83273.4920168553,83273.4920168553,83273.4920168553
7,101678.746891621,101678.746891621,101678.746891621
8,118131.747798461,118131.747798461,118131.747798461
9,131544.891562257,131544.891562257,131544.891562257
10,141682.169221394,141682.169221394,141682.169221394
