time,S,R,F,T,dose_u1
0,22500,7500,10000,30000,0
0.2,25317.015582978,8521.37695981317,10909.8957942929,33838.3925427912,0
0.4,28438.018184204,9664.85775217072,11889.8148257068,38102.8759363747,0
0.6,31912.8362484667,10952.4330286396,12949.1340505606,42865.2692771062,0
0.8,35778.3421061709,12401.5342591184,14093.8711198325,48179.8763652893,0
1,40070.3187382084,14029.9873590537,15329.4188981518,54100.3060972622,0.25
1.2,44678.7174704076,15878.6071614504,16671.1984459841,60557.324631858,0.25
1.4,49677.0397390501,17931.5341674287,18107.146475973,67608.5739064788,0.25
1.6,55107.4953294647,20221.5720244605,19648.3317111356,75329.0673539252,0.25
1.8,60991.0230845934,22773.6471125604,21301.3259066017,83764.6701971538,0.25
2,67337.6823739672,25609.9142571395,23070.8947024595,92947.5966311067,0.5
2.2,73717.3194260019,28791.6555275079,24975.2016322391,102508.97495351,0.5
2.4,80405.0452743927,32284.830885048,26995.0390927384,112689.876159441,0.5
2.6,87395.3375630709,36130.5553738391,29140.520606373,123525.89293691,0.5
2.8,94661.8053056552,40360.579458015,31417.0580894145,135022.38476367,0.5
3,102164.013905374,44998.4394913763,33826.4965562331,147162.45339675,0.5
3.2,109869.051592078,50124.5967050617,36386.3110125159,159993.64829714,0.5
3.4,117683.789733932,55672.8779602668,39069.1105877652,173356.667694199,0.5
3.6,125553.114150937,61679.2890026629,41878.7490670069,187232.4031536,0.5
3.8,133410.754834868,68178.9974045355,44817.19038942,201589.752239403,0.5
4,141183.182581749,75189.4559281399,47880.4959146637,216372.638509889,0.5
4.2,148758.204948232,82806.918600132,51079.5746950215,231565.123548364,0.5
4.4,156094.481766017,90931.748838361,54381.8059821627,247026.230604378,0.5
4.6,163119.500015583,99573.7058036638,57779.4924208198,262693.205819247,0.5
4.8,169740.295628943,108775.779848125,61269.3943920797,278516.075477068,0.5
5,175883.61950161,118547.868971831,64840.6076974744,294431.488473441,0.5
5.2,181381.688001075,128998.314586331,68490.2801076364,310380.002587407,0.5
5.4,186295.369942803,140005.745188493,72189.4585638308,326301.115131296,0.5
5.6,190610.344397974,151539.969964269,75922.6542624451,342150.314362243,0.5
5.8,194224.768679689,163654.546340154,79679.209848196,357879.315019843,0.5
6,197097.033457704,176354.395541827,83443.7443629115,373451.428999531,0.5
6.2,199072.540895589,189738.449771873,87197.893570545,388810.990667461,0.5
6.4,200305.682139093,203673.234487956,90927.4711286351,403978.916627049,0.5
6.6,200828.914098027,218118.896002262,94620.4074701241,418947.810100289,0.5
6.8,200571.095726648,233114.88008164,98259.4249731385,433685.975808288,0.5
