time,S,R,F,T,dose_u1
0,22500,7500,10000,30000,0
0.2,25317.015582978,8521.37695981317,10909.8957942929,33838.3925427912,0
0.4,28438.018184204,9664.85775217072,11889.8148257068,38102.8759363747,0
0.6,31912.8362484667,10952.4330286396,12949.1340505606,42865.2692771062,0
0.8,35778.3421061709,12401.5342591184,14093.8711198325,48179.8763652893,0
1,40070.3187382084,14029.9873590537,15329.4188981518,54100.3060972622,0.25
1.2,44678.7174704076,15878.6071614504,16671.1984459841,60557.324631858,0.25
1.4,49677.0397390501,17931.5341674287,18107.146475973,67608.5739064788,0.25
1.6,55107.4953294647,20221.5720244605,19648.3317111356,75329.0673539252,0.25
1.8,60991.0230845934,22773.6471125604,21301.3259066017,83764.6701971538,0.25
2,67337.6823739672,25609.9142571395,23070.8947024595,92947.5966311067,0.25
2.2,74203.8334396389,28789.9060671513,24975.2713861026,102993.73950679,0.25
2.4,81497.3300551755,32276.393872667,26995.1812768247,113773.723927842,0.25
2.6,89233.1414083107,36107.2236425535,29140.67496259,125340.365050864,0.25
2.8,97401.6991163561,40310.124935613,31417.2216859797,137711.824051969,0.25
3,105974.582277569,44903.4914089052,33826.6681141081,150878.073686474,0.25
3.2,114953.491441465,49958.6824101534,36387.0033809699,164912.173851619,0.25
3.4,124214.629599111,55405.0214537786,39070.4532554714,179619.651052889,0.25
3.6,133712.087249543,61265.5267214491,41880.1846947813,194977.613970992,0.25
3.8,143387.877774197,67563.6979674421,44818.6848982981,210951.575741639,0.25
4,153165.632640532,74303.3964941766,47882.0464180908,227469.029134709,0.25
4.2,162950.761854104,81555.6698934386,51082.6013504003,244506.431747543,0.25
4.4,172651.577619667,89220.8429903949,54387.2589490793,261872.420610062,0.25
4.6,182188.108804421,97279.3532860367,57785.356051858,279467.462090458,0.25
4.8,191460.665627831,105754.885195946,61275.4015503925,297215.550823778,0.25
5,200379.377390122,114638.012014156,64846.6946245056,315017.389404277,0.25
5.2,208775.248158966,123982.643356007,68496.4665109527,332757.891514973,0.25
5.4,216667.90684789,133688.172179595,72195.7211706277,350356.079027485,0.25
5.6,224023.6279592,143720.134562138,75928.969970242,367743.762521338,0.25
5.8,230731.810773443,154097.306484079,79685.5523983038,384829.117257521,0.25
6,236736.36987811,164809.055470541,83450.0867977316,401545.425348651,0.25
6.2,241872.837204992,175898.870309733,87204.2045029411,417771.707514725,0.25
6.4,246277.553214289,187284.440356417,90933.7256607562,433561.993570706,0.25
6.6,249971.386548683,198938.132391703,94626.5827622892,448909.518940386,0.25
6.8,252872.362770047,210876.728118436,98265.4970184049,463749.090888483,0.25
