time,S,R,F,T,dose_u1
0,22500,7500,10000,30000,0
0.2,25317.015582978,8521.37695981317,10909.8957942929,33838.3925427912,0
0.4,28438.018184204,9664.85775217072,11889.8148257068,38102.8759363747,0
0.6,31912.8362484667,10952.4330286396,12949.1340505606,42865.2692771062,0
0.8,35778.3421061709,12401.5342591184,14093.8711198325,48179.8763652893,0
1,40070.3187382084,14029.9873590537,15329.4188981518,54100.3060972622,0
1.2,44874.7377588047,15878.2702391965,16671.2162904369,60753.0079980011,0
1.4,50143.2295648494,17929.6885537955,18107.1771061284,68072.9181186449,0
1.6,55938.4552860566,20216.1035930496,19648.3649646562,76154.5588791062,0
1.8,62300.9245186489,22761.1176396639,21301.3617058106,85062.0421583127,0
2,69260.5558908867,25584.9861516824,23070.9330345193,94845.5420425691,0
2.2,76915.8075860928,28743.7478722303,24975.5059946019,105659.555458323,0
2.4,85164.810406747,32197.6244715035,26995.6284392383,117362.43487825,0
2.6,94051.5290833173,35978.6635666189,29141.1599558282,130030.192649936,0
2.8,103592.361282277,40108.2669207107,31417.7353328858,143700.628202987,0
3,113777.325861094,44597.0642080705,33827.235307222,158374.390069165,0
3.2,124665.770540826,49501.5529320504,36388.5545698136,174167.323472877,0
3.4,136089.710480783,54745.983246431,39073.335521809,190835.693727214,0
3.6,148013.692702884,60333.712615802,41883.2678284695,208347.405318686,0
3.8,160398.858748271,66271.7469068287,44821.8956180051,226670.6056551,0
4,173168.038298293,72545.0463920188,47885.3845484897,245713.084690312,0
4.2,186265.126212684,79182.9095978854,51087.4958349009,265448.035810569,0
4.4,199523.177318772,86089.1055398274,54394.6378482396,285612.2828586,0
4.6,212837.877660264,93220.2115477456,57793.3753919412,306058.08920801,0
4.8,226111.629341687,100566.886292945,61283.6257984244,326678.515634632,0
5,239233.917093593,108095.480080364,64854.9949608774,347329.397173957,0
5.2,252042.785117601,115791.541979622,68504.9024266331,367834.327097224,0
5.4,264495.043088772,123587.458922027,72204.260927591,388082.502010799,0
5.6,276530.292199446,131447.29497064,75937.5820637938,407977.587170086,0
5.8,288032.583842356,139348.574127066,79694.2010207726,427381.157969422,0
6,298931.11335317,147264.783255661,83458.7351896066,446195.896608831,0
6.2,309064.262911659,155172.926146849,87212.80986617,464237.189058507,0
6.4,318539.98833005,163057.069688441,90942.2540470601,481597.058018491,0
6.6,327367.922354401,170904.493737751,94635.0030307035,498272.416092152,0
6.8,335467.553354429,178701.184002282,98273.7764375267,514168.737356711,0
7,342828.395775771,186440.235484719,101844.355334219,529268.63126049,0
7.2,349340.133336632,194111.202725414,105319.904256444,543451.336062046,0
