Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,15000,15000,15000,15000,15000,15000
1,36028.93197,32780.48668,36755.33603,28920.60902,17569.28536,29481.9086
2,95597.88888,107158.4005,115312.4894,43213.67093,36447.06452,54912.44755
3,155812.3142,229251.1246,194278.006,69097.69962,74332.89163,98781.11285
4,353940.533,568036.5688,461979.4906,120060.2947,142438.1218,165895.3338
5,495919.4286,704256.4856,517676.9232,168367.4856,208865.9197,249332.6472
6,658256.794,911786.5158,806650.5321,166498.3875,196553.1033,238371.0869
7,693420.1182,904637.6903,820978.082,185657.2858,197570.7434,258714.2943
8,964892.1662,1140990.115,1048055.835,122014.6741,110809.4031,177125.1149
9,903033.6146,1071873.989,1016173.636,94820.5524,88849.81978,139400.6376
10,1129617.167,1229891.278,1193957.222,60882.5961,48697.47573,116949.0367
11,1102563.952,1161982.163,1163966.337,42265.63263,40749.34152,56639.45633
12,1227472.596,1251024.129,1255936.204,32265.00889,41694.04227,52730.24549
13,1126701.364,1165497.161,1132553.864,29015.72922,35754.66177,31500.25777
14,1251775.356,1276948.868,1253640.421,16610.29572,18503.03477,26761.80458
