Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,30000,30000,30000,10000,10000,10000
1,64532.99464,62597.91259,77059.13623,14189.27842,15452.7305,15096.44041
2,135691.3734,146036.7514,167805.2755,26948.82042,30324.88358,28788.3716
3,163367.9494,174263.2606,177106.4238,39116.71633,43334.44856,47860.44142
4,250464.8874,255289.2456,283723.6152,57629.42696,67478.57239,71079.90067
5,216221.693,238846.9639,318310.271,94742.85004,105549.651,96146.65526
6,291424.3034,320270.8931,327128.3088,113070.9328,128993.6713,139736.5242
7,247313.1312,255127.7134,275182.0987,161970.1479,189457.8133,204116.9237
8,498658.9169,379370.3809,386341.886,249802.5661,256730.1876,240379.154
9,276144.6041,280517.6107,305215.5007,277322.0491,346365.0398,303222.6894
10,390303.5916,403881.8048,435406.1534,332230.7723,385540.5218,356020.8745
11,274572.8523,262276.5715,245398.4655,410422.5507,426899.1532,476390.2295
12,381109.5122,394008.586,352630.9266,422172.1251,413816.8792,467082.5104
13,221051.8006,231102.4311,203062.1533,472892.4109,451950.3999,521767.1614
14,259337.7405,295990.9336,249027.9153,403735.8978,380769.1994,427075.4502
