Day,Rep1,Rep2,Rep3
0,10000,10000,10000
1,15779.10647,14448.37819,19250.45984
2,19958.78827,19249.09144,18599.08671
3,54256.50476,61908.90831,47563.95582
4,94398.55663,98356.8253,72483.24593
5,88334.91077,82483.70002,97303.86135
6,84650.93872,103863,95417.02699
7,148562.8274,183995.0116,3609.151737
8,86664.31633,53353.90582,188758.8816
9,93838.38512,121513.661,113726.2444
10,97093.57896,101693.0412,102791.9799
11,125138.924,156313.713,76848.29379
12,84927.7552,91347.96832,71820.52513
