Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,22500,22500,22500,7500,7500,7500
1,59619.85456,43099.46411,60444.43824,13872.87816,15766.55589,15361.28682
2,164303.7739,130195.0463,164484.106,28101.58792,31636.57586,28949.32586
3,298695.86,270125.7982,478753.8131,48266.61876,56219.37687,54721.40752
4,558617.8262,529781.5252,591886.7079,76322.41966,87696.13272,94854.658
5,642241.1038,603435.6424,741947.9351,93509.06871,107345.06,129285.6679
6,887021.2968,793812.7119,915504.6171,76580.4193,85984.69917,87540.44987
7,859361.8648,785934.4925,896714.2748,66275.80029,79844.57889,65423.22986
8,1080365.206,1058316.718,1078335.87,42029.36184,49806.55086,40283.33597
9,1045601.275,907962.6558,996438.1762,29194.98352,31566.62636,25230.87692
10,1200822.043,1134269.052,1183840.271,20743.9221,20575.09765,15016.40655
11,1146220.996,989541.0577,1115780.585,20528.12857,15120.07923,5733.982054
12,1241259.637,1186340.305,1228656.766,19193.87305,14736.71283,4591.517506
13,1074086.612,1053405.895,1081282.163,14663.11288,10663.85769,2333.035025
14,1197851.379,1249386.921,1244342.456,8637.713954,6577.916576,1637.983088
