Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,20000,20000,20000,20000,20000,20000
1,49207.98413,46158.15355,39952.75329,50889.22979,45804.93375,40966.5735
2,92764.1582,93809.48306,85058.20937,88559.23513,85818.56475,74781.43371
3,111002.1271,118497.5364,93738.57314,129343.9186,134895.3479,122178.6139
4,176136.2916,189929.3467,143471.8109,171088.6434,182639.666,177406.0798
5,147263.8489,156420.8893,126785.5098,237386.7788,246625.5826,228460.3815
6,267692.9864,258379.7135,212350.3946,290726.0578,297866.5264,292302.7768
7,177011.4796,182677.6242,155568.5426,397758.9112,410655.56,414234.3403
8,304812.9021,298351.1427,256140.9665,416476.8812,431661.7146,461076.0334
9,192836.0471,195870.8392,173009.743,481308.7496,536624.3542,528852.5683
10,322377.7548,324831.7347,340564.976,480098.6462,499541.5557,542854.8448
11,195232.7477,200661.0136,200538.5346,520169.9868,543497.0235,614175.714
12,360519.137,336312.043,337598.7471,486693.523,495442.0002,557300.717
13,176383.1856,180104.6266,179573.2325,496914.9162,534309.3976,600265.5578
14,246812.6354,264389.6323,242224.7284,406170.7129,436710.9663,475531.7227
