time,S,R,F,T,dose_u1
5.4,610148.484175038,75214.949346725,95318.660859211,685363.433521763,1.25
5.6,614025.557082006,77484.0494085329,97115.4887447767,691509.606490539,1.25
5.8,616063.491050597,79728.6912814524,98709.0138336334,695792.18233205,1.25
6,616385.61243792,81959.3077401674,100113.862603042,698344.920178088,1.25
6.2,614904.275305548,84188.8516372069,101322.354263826,699093.126942755,1.25
6.4,612114.618372492,86429.419130496,102389.649330547,698544.037502988,1.25
6.6,608189.905972305,88688.7325038176,103334.758745434,696878.638476123,1.25
6.8,603130.55544545,90978.0267347685,104158.270815734,694108.582180218,1.25
7,597048.293003745,93307.7730326586,104872.811712152,690356.066036404,1
7.2,604297.153045917,96477.0794172976,105478.101280449,700774.232463215,1
7.4,609770.116930898,99619.8957065354,106007.017594089,709390.012637433,1
7.6,613656.312799271,102745.941741482,106471.14827909,716402.254540754,1
7.8,615912.542858739,105863.949551639,106871.972646055,721776.492410378,1
8,616659.212616145,108986.165355631,107217.02705158,725645.377971776,1
8.2,615834.477889937,112131.222258189,107507.100550172,727965.700148126,1
8.4,613874.638753469,115308.280507558,107759.265457713,729182.919261026,1
8.6,610931.753070047,118525.161582501,107979.571457207,729456.914652548,1
8.8,607007.101937133,121796.549439284,108169.012720624,728803.651376417,1
9,602196.895689897,125134.571072006,108331.481402275,727331.466761903,1
9.2,596488.020276306,128565.98874648,108467.567953057,725054.009022786,1
9.4,590143.929796245,132084.665586903,108585.580898822,722228.595383148,1
9.6,583258.985422402,135694.478772582,108688.470038773,718953.464194984,1
9.8,575842.190534723,139413.758023025,108776.76592729,715255.948557749,1
10,567952.822270231,143253.195196446,108852.356460349,711206.017466678,0.75
10.2,584174.073187672,148292.294694255,108915.565208454,732466.367881927,0.75
10.4,598430.368889404,153150.06243625,108970.316775808,751580.431325654,0.75
10.6,610871.470647507,157841.327855718,109018.00558626,768712.798503225,0.75
10.8,621392.754452275,162359.326460494,109058.892043687,783752.08091277,0.75
11,630088.67730956,166717.326447776,109093.874820772,796806.003757337,1
11.2,607722.755107641,169622.874793365,109123.096205355,777345.629901006,1
11.4,586890.367879294,172861.933735398,109148.394479345,759752.301614693,1
11.6,567317.909828657,176405.213603307,109170.419505379,743723.123431964,1
11.8,548943.587734506,180271.516927859,109189.294668548,729215.104662365,1
12,531603.868262046,184452.618892442,109205.434391528,716056.487154488,0.75
12.2,542440.983718041,190622.59657842,109218.914929796,733063.580296461,0.75
12.4,551633.792987787,196624.322981003,109230.582797541,748258.11596879,0.75
12.6,559335.026783601,202474.662537287,109240.738905609,761809.689320889,0.75
12.8,565482.757513565,208170.720294035,109249.440814395,773653.477807599,0.75
13,570173.251887702,213727.745642531,109256.882123907,783900.997530233,0.75
13.2,573322.898649453,219148.440948126,109263.094596475,792471.339597579,0.75
13.4,575345.971397571,224478.638774331,109268.471100217,799824.610171901,0.75
13.6,576382.670565447,229736.020785108,109273.150545847,806118.691350555,0.75
13.8,576424.124070242,234928.356205927,109277.159595959,811352.480276169,0.75
14,575558.410495872,240071.859428407,109280.586766694,815630.269924279,0.75
14.2,573761.969722669,245181.445629576,109283.448576578,818943.415352245,0.75
14.4,571300.195635407,250279.7542925,109285.925164598,821579.949927907,0.75
14.6,568265.463955416,255377.815511122,109288.080570989,823643.279466537,0.75
14.8,564661.02492959,260486.964013216,109289.927106899,825147.988942806,0.75
15,560544.115423832,265619.196746028,109291.505575214,826163.31216986,0.75
15.2,555907.579133248,270793.669150136,109292.823605803,826701.248283383,0.75
15.4,550903.158779568,276012.818438195,109293.964192033,826915.977217762,0.75
15.6,545584.490290732,281281.076694157,109294.956838832,826865.566984889,0.75
15.8,539955.501547738,286610.437030603,109295.807222328,826565.938578341,0.75
16,534049.11524629,292008.515869563,109296.534140454,826057.631115853,0.5
16.2,555696.269162413,299405.30290797,109297.141111562,855101.572070383,0.5
16.4,575496.780328732,306060.025413875,109297.666361349,881556.805742607,0.5
16.6,593559.766777929,312034.694811672,109298.123479499,905594.461589601,0.5
16.8,609759.729082622,317297.261370491,109298.515081246,927056.990453113,0.5
17,624170.200262409,321891.410641518,109298.849906079,946061.610903927,0.75
17.2,603224.467385599,323686.323809859,109299.129400539,926910.791195458,0.75
17.4,584138.932388714,326054.422812347,109299.371263226,910193.355201061,0.75
17.6,566559.932977718,328911.542080905,109299.581752317,895471.475058622,0.75
17.8,550392.655697189,332253.238658417,109299.762072336,882645.894355606,0.75
18,535425.061996269,336032.883073576,109299.916210299,871457.945069844,0.5
18.2,552498.023038355,342714.988700994,109300.044912912,895213.011739349,0.5
18.4,567929.722610506,348669.666102244,109300.156286451,916599.38871275,0.5
18.6,581859.69486657,353972.480332351,109300.253212807,935832.175198921,0.5
18.8,594217.428626356,358606.167872059,109300.3362467,952823.596498416,0.5
19,605097.51483929,362623.531588391,109300.407241436,967721.046427681,0.75
19.2,578497.78724677,363330.761686104,109300.466636632,941828.548932874,0.75
19.4,554668.330424523,364896.598906704,109300.518110599,919564.929331226,0.75
19.6,533135.595173558,367201.141995342,109300.562729033,900336.737168899,0.75
19.8,513680.721235731,370204.536239906,109300.600915117,883885.257475637,0.75
20,495968.639224469,373822.0670063,109300.633540403,869790.706230769,0.5
20.2,511583.259479553,381139.649940286,109300.660800131,892722.909419839,0.5
20.4,525698.791192592,387675.946940046,109300.684389454,913374.738132638,0.5
20.6,538444.028401733,393512.238002043,109300.704918784,931956.266403776,0.5
20.8,549755.396068543,398629.863944683,109300.72250562,948385.260013226,0.5
21,559719.237145814,403085.140399086,109300.737542509,962804.3775449,0.75
21.2,531585.374750425,403481.155104521,109300.750144869,935066.529854947,0.75
21.4,506494.579745457,404890.133445238,109300.761077383,911384.713190695,0.75
21.6,483991.373167426,407183.921157143,109300.770523075,891175.294324569,0.75
21.8,463776.087492731,410289.061239164,109300.778603371,874065.148731895,0.75
22,445472.340932339,414095.457215668,109300.785507037,859567.798148007,0.5
22.2,460259.71772982,422449.800104251,109300.791275913,882709.517834071,0.5
22.4,473672.40066111,429935.612137593,109300.796268034,903608.012798703,0.5
22.6,485822.69437041,436640.157053317,109300.800612578,922462.851423727,0.5
22.8,496646.262761616,442539.457929196,109300.804334413,939185.720690811,0.5
23,506217.365170349,447693.469068644,109300.807516611,953910.834238993,0.75
23.2,478133.018089584,447851.863568893,109300.810186662,925984.881658476,0.75
23.4,453150.844135395,449133.42233783,109300.812503832,902284.266473226,0.75
23.6,430848.418654929,451401.832344318,109300.814502071,882250.250999247,0.75
23.8,410888.75419887,454554.949343543,109300.816211115,865443.703542414,0.75
24,392887.887348203,458461.400876477,109300.817671316,851349.28822468,0.5
24.2,406840.53364996,467876.139347309,109300.818891571,874716.672997269,0.5
24.4,419550.003047423,476321.848312823,109300.819947524,895871.851360246,0.5
24.6,431111.993902487,483893.025323143,109300.820866499,915005.01922563,0.5
24.8,441462.240926288,490559.896824834,109300.821653755,932022.137751122,0.5
25,450662.953134126,496386.849631411,109300.822326866,947049.802765536,0.5
