time,S,R,F,T,dose_u1
5.4,618973.139972038,73494.1547770442,95313.1356930274,692467.294749082,1.5
5.6,615009.965360976,74968.0563823063,97110.5826980131,689978.021743282,1.5
5.8,609790.956123068,76426.942743458,98704.6790184141,686217.898866526,1.5
6,603437.608087189,77879.330700726,100109.869351279,681316.938787915,0
6.2,649924.339015355,81349.8735700586,101318.846266605,731274.212585414,0
6.4,694582.180105735,84524.4571930258,102386.579494466,779106.637298761,0
6.6,737093.158083572,87397.846826207,103332.084194408,824491.004909779,0
6.8,776897.934037823,89926.9678714404,104155.94695436,866824.901909263,0
7,813726.611362276,92106.0759884969,104870.92910962,905832.687350773,1.5
7.2,767491.847211298,91318.8377654983,105479.655022017,858810.684976796,1.5
7.4,726348.431720309,90869.7005295143,106013.115954316,817218.132249824,1.5
7.6,689540.541598263,90729.5791290208,106476.955211929,780270.120727284,1.5
7.8,656436.954987299,90854.551211224,106876.895872695,747291.506198523,1.5
8,626375.767017689,91221.5249921691,107221.039480492,717597.292009858,0
8.2,671579.826375871,94913.1944319158,107510.56332935,766493.020807787,0
8.4,714570.828589326,98247.442751521,107762.248198471,812818.271340847,0
8.6,755127.926787772,101227.484853047,107982.133160425,856355.411640819,0
8.8,792749.137130276,103811.586567794,108171.210993445,896560.723698069,0
9,827255.707746858,106001.531701637,108333.404302251,933257.239448495,1.5
9.2,756284.522403285,103964.508026922,108470.84393764,860249.030430207,1.5
9.4,695873.449647756,102587.25472481,108590.137366812,798460.704372566,1.5
9.6,644295.475402288,101781.519306314,108692.51778319,746076.994708602,1.5
9.8,599695.888264837,101448.960896223,108780.145473593,701144.849161061,1.5
10,560569.903960749,101500.021405185,108855.191545405,662069.925365934,0
10.2,607102.646605318,106283.36339497,108918.002047728,713386.010000288,0
10.4,651965.009583658,110684.507775953,108972.408316361,762649.51735961,0
10.6,694811.351624484,114691.5476896,109019.796121272,809502.899314084,0
10.8,735071.691514047,118243.425891503,109060.424301337,853315.11740555,0
11,772449.336451774,121328.259497431,109095.185939826,893777.595949205,1.5
11.2,690643.866658187,118501.971042296,109124.652663927,809145.837700482,1.5
11.4,622563.222624346,116579.040707545,109150.119443753,739142.263331892,1.5
11.6,565598.895576146,115408.381475854,109171.924641673,681007.277051999,1.5
11.8,517240.211536407,114837.765623758,109190.56193374,632077.977160166,1.5
12,475553.491827996,114753.764377651,109206.505541327,590307.256205647,0
12.2,522178.582970658,121169.247164226,109219.834814508,643347.830134883,0
12.4,567980.502996652,127206.828281184,109231.371730147,695187.331277836,0
12.6,612481.202407401,132826.980256051,109241.413833143,745308.182663452,0
12.8,655065.983260707,137938.622912534,109250.018044082,793004.606173241,0
13,695300.509831498,142502.966481307,109257.374008605,837803.476312805,1.5
13.2,609483.658909643,138810.648442057,109263.618031304,748294.3073517,1.5
13.4,539224.462281594,136258.549346657,109269.003479338,675483.011628251,1.5
13.6,481315.139094554,134628.295987172,109273.611859987,615943.435081726,1.5
13.8,432877.447413465,133717.752125788,109277.549676001,566595.199539253,1.5
14,391743.509265947,133372.462696593,109280.917634837,525115.97196254,0
14.2,436432.055683722,141923.663447688,109283.732667925,578355.71913141,0
14.4,481135.997283792,150132.323159808,109286.16877391,631268.320443599,0
14.6,525311.169555507,157923.133348368,109288.288946967,683234.302903874,0
14.8,568372.045754555,165169.409653036,109290.104765123,733541.455407591,0
15,609802.41137768,171795.26058538,109291.656194584,781597.67196306,1.5
15.2,524342.88142041,166861.336170061,109292.975699769,691204.217590472,1.5
15.4,455422.312262279,163334.309891054,109294.112369805,618756.622153333,1.5
15.6,399454.00029795,160915.52727044,109295.084789759,560369.52756839,1.5
15.8,353353.727196196,159341.69012546,109295.915685043,512695.417321656,1.5
16,314828.381905405,158411.59907894,109296.626321976,473239.980984344,0
16.2,355937.811023655,169632.559383622,109297.220257743,525570.370407277,0
16.4,397715.138434231,180575.465835877,109297.734227137,578290.604270108,0
16.6,439620.70629049,191123.778391685,109298.18152803,630744.484682176,0
16.8,481148.493821278,201111.491214482,109298.564607174,682259.98503576,0
17,521767.368433928,210417.462782952,109298.891900696,732184.83121688,1.5
17.2,440059.786521746,203591.981294632,109299.17048245,643651.767816377,1.5
17.4,375197.507587149,198485.71878584,109299.4102647,573683.226372989,1.5
17.6,323392.947274434,194702.268912751,109299.615359193,518095.216187185,1.5
17.8,281465.187855919,191902.713232343,109299.790606868,473367.901088262,1.5
18,247070.706514009,189831.299874413,109299.940492913,436902.006388422,0
18.2,283621.02959656,204199.103256173,109300.066093822,487820.132852733,0
18.4,321233.488514951,218380.630887889,109300.174972807,539614.119402841,0
18.6,359455.687524749,232199.662754277,109300.269278871,591655.350279025,0
18.8,397867.797387727,245457.720912317,109300.349946321,643325.518300044,0
19,435966.245331554,257983.392965325,109300.418882173,693949.638296879,1.5
19.2,360580.599092248,248313.471101319,109300.47759543,608894.070193567,1.5
19.4,301804.61914799,240736.212791621,109300.528097877,542540.831939611,1.5
19.6,255766.37236434,234737.808023109,109300.571287549,490504.180387449,1.5
19.8,219267.829382447,229890.350602903,109300.608193061,449158.17998535,1.5
20,189971.712303663,225877.271415832,109300.639757871,415848.983719495,0
20.2,221767.214175094,243627.878675379,109300.666286917,465395.092850473,0
20.4,254786.009837658,261278.265804,109300.689312045,516064.275641658,0
20.6,288707.822161549,278603.86392311,109300.709154133,567311.68608466,0
20.8,323164.285009222,295366.860900116,109300.72612343,618531.145909338,0
21,357722.386841835,311350.425302336,109300.740622077,669072.812144171,1.5
21.2,290123.890160524,297652.090511012,109300.752976383,587775.980671536,1.5
21.4,238523.585483604,286506.282068765,109300.763596613,525029.867552368,1.5
21.6,199021.118040015,277263.713146879,109300.772677878,476284.831186894,1.5
21.8,168450.716718878,269397.574032667,109300.780438017,437848.290751545,1.5
22,144515.685374171,262526.081327742,109300.787075465,407041.766701912,0
22.2,172056.724514485,283494.237589874,109300.792665703,455550.96210436,0
22.4,200850.687986228,304421.990408064,109300.797518162,505272.678394292,0
22.6,230676.115569503,325050.263868922,109300.801687691,555726.379438425,0
22.8,261218.578103284,345103.930716173,109300.80525254,606322.508819457,0
23,292107.972776207,364323.541863733,109300.808298601,656431.51463994,1.5
23.2,232369.491589448,345470.311877759,109300.810895646,577839.803467206,1.5
23.4,187871.789018232,329746.622574371,109300.813126956,517618.411592602,1.5
23.6,154687.584235241,316352.187697675,109300.815034731,471039.771932915,1.5
23.8,129694.901474879,304652.878730256,109300.816665021,434347.780205134,1.5
24,110660.356605313,294198.5900383,109300.818059468,404858.946643614,0
24.2,134862.655911171,317811.000407523,109300.819236004,452673.656318694,0
24.4,160299.454839982,341418.084099381,109300.820256786,501717.538939363,0
24.6,186811.912340512,364734.567525911,109300.821132317,551546.479866422,0
24.8,214128.483133413,387455.111409464,109300.821880733,601583.594542876,0
25,241930.091293257,409286.989622757,109300.822520311,651217.080916015,0
