time,S,R,F,T,dose_u1
15,228618.050248416,532959.043606052,160662.366794955,761577.093854468,0
15.2,224299.550934263,538684.705913287,160871.272830808,762984.25684755,0
15.4,219999.417692897,544332.427166618,161063.374873546,764331.844859515,0
15.6,215720.140832747,549905.806172384,161240.637361719,765625.94700513,0
15.8,211467.336568959,555397.14276944,161402.750675649,766864.4793384,0
16,207244.769243607,560805.711773257,161550.832050452,768050.481016864,0
16.2,203061.552794216,566118.26766699,161684.145265494,769179.820461206,0
16.4,198913.241865152,571353.287422194,161806.632222749,770266.529287346,0
16.6,194800.337290353,576514.483236817,161919.573273401,771314.82052717,0
16.8,190728.704761991,581594.328310428,162022.783505928,772323.033072419,0
17,186700.954872004,586592.219607857,162116.993713773,773293.174479861,0
17.2,182726.844596158,591495.158253438,162201.745803486,774222.002849596,0
17.4,178798.013554902,596321.537592614,162279.57366957,775119.551147516,0
17.6,174913.601011553,601075.163623931,162351.30215452,775988.764635484,0
17.8,171079.500406383,605748.755309298,162416.818875931,776828.255715681,0
18,167297.477074564,610341.858791493,162476.595658183,777639.335866056,0
18.2,163577.488801458,614841.865295286,162530.346039598,778419.354096744,0
18.4,159908.719959867,619266.954836979,162579.688299775,779175.674796846,0
18.6,156289.40316732,623620.998259089,162625.149951429,779910.401426408,0
18.8,152725.30317276,627897.03314183,162666.661814385,780622.33631459,0
19,149217.563788756,632094.771012774,162704.526038509,781312.33480153,0
19.2,145776.02809867,636202.128930802,162738.562870991,781978.157029472,0
19.4,142388.473819621,640236.915537269,162769.801599691,782625.38935689,0
19.6,139052.555003724,644203.025945101,162798.578031544,783255.580948825,0
19.8,135773.797654064,648093.879518877,162824.849201775,783867.67717294,0
20,132552.88645236,651909.354805238,162848.807614164,784462.241257598,0
20.2,129399.326985319,655638.009233439,162870.340215109,785037.336218758,0
20.4,126300.24269036,659297.10971022,162890.099975699,785597.35240058,0
20.6,123252.946420563,662890.526871129,162908.300043911,786143.473291692,0
20.8,120262.650691237,666412.109575118,162924.913577232,786674.760266355,0
21,117329.700866633,669861.891847957,162940.062827608,787191.592714589,0
21.2,114463.112826635,673229.157552281,162953.676584077,787692.270378917,0
21.4,111649.893722683,676530.467814303,162966.168407491,788180.361536986,0
21.6,108887.187608445,679769.617530407,162977.673341508,788656.805138852,0
21.8,106179.846612154,682940.915410626,162988.174550612,789120.762022779,0
22,103527.967130335,686044.530101329,162997.749514851,789572.497231664,0
22.2,100939.977947718,689070.52754696,163006.353335772,790010.505494678,0
22.4,98403.1502769839,692034.620647017,163014.247672142,790437.770924001,0
22.6,95914.5844083353,694940.480166181,163021.517983987,790855.064574516,0
22.8,93478.7472082353,697782.888410703,163028.153685476,791261.635618938,0
23,91095.5555318626,700562.122770371,163034.203818523,791657.678302233,0
23.2,88772.7963023891,703269.05824631,163039.640057071,792041.854548699,0
23.4,86498.2671066694,705918.448304455,163044.627843643,792416.715411124,0
23.6,84269.1141529922,708513.797985074,163049.221220499,792782.912138067,0
23.8,82089.4112803604,711050.362554431,163053.413520708,793139.773834792,0
24,79958.9497360959,713528.500922897,163057.23576084,793487.450658993,0
24.2,77884.8525003515,715939.899316307,163060.670063135,793824.751816658,0
24.4,75855.6163043101,718298.27583983,163063.820990971,794153.89214414,0
24.6,73868.4960237424,720606.93723097,163066.722703175,794475.433254712,0
24.8,71927.1775748993,722861.599564548,163069.370996596,794788.777139447,0
25,70031.3685609033,725062.677361239,163071.785477663,795094.045922142,0
