time,S,R,F,T,dose_u1
0,30000,10000,10000,40000,0
0.2,33662.7162539844,11328.4386879022,10910.2073237889,44991.1549418867,0
0.4,37697.8685906392,12807.1576562036,11890.3226237529,50505.0262468428,0
0.6,42161.1796620473,14461.1732206022,12949.6973024297,56622.3528826495,0
0.8,47092.0271527463,16309.7443558366,14094.5683526647,63401.7715085828,0
1,52523.6913806461,18370.4456114174,15330.1788584167,70894.1369920635,1.5
1.2,57575.0266466222,20690.7871335854,16672.6787890426,78265.8137802076,1.5
1.4,62810.6076862749,23249.7786807192,18109.2259485712,86060.3863669941,1.5
1.6,68209.1805845152,26083.274274983,19650.5824573166,94292.4548594982,1.5
1.8,73733.8141642649,29219.9997874543,21303.7393901199,102953.813951719,1.5
2,79338.0390591413,32684.9984187831,23073.4778593383,112023.037477924,1.5
2.2,84966.052856965,36550.1524971994,24978.7879255231,121516.205354164,1.5
2.4,90558.5396105421,40772.8228951772,26999.7382517743,131331.362505719,1.5
2.6,96057.5517720735,45398.5747160188,29145.5581158876,141456.126488092,1.5
2.8,101399.261477232,50469.101184787,31422.3937564239,151868.362662019,1.5
3,106521.384284543,56016.5648657495,33832.1196920992,162537.949150293,0
3.2,116581.837104515,62101.4240841971,36394.098872481,178683.261188712,0
3.4,127111.125143576,68593.0101896734,39079.726494233,195704.135333249,0
3.6,138068.678400313,75489.5776796166,41889.995263787,213558.25607993,0
3.8,149414.150836582,82796.9344233055,44828.9167751238,232211.085259887,0
4,161071.840733048,90492.9572476209,47892.6912786744,251564.797980668,1.5
4.2,162877.309003264,98763.1076315115,51092.7859716405,261640.416634776,1.5
4.4,164028.289194831,107639.271653151,54396.3685047337,271667.560847982,1.5
4.6,164507.373346934,117157.29185277,57794.5640077411,281664.665199704,1.5
4.8,164306.154238398,127411.124027361,61284.8438422751,291717.278265759,1.5
5,163377.900291357,138454.680846168,64856.3692281183,301832.581137525,0
5.2,174141.232336806,150171.816535713,68506.2991336508,324313.048872519,0
5.4,184767.201968712,162178.172125731,72205.6748193253,346945.374094443,0
5.6,195170.54225267,174390.058643672,75939.0079239225,369560.600896342,0
5.8,205235.199974452,186756.882224138,79695.6329206515,391992.08219859,0
6,214868.189697198,199207.717889585,83460.6663175181,414075.907586783,0
6.2,223891.855728251,211666.390952771,87214.7313746165,435558.246681022,0
6.4,232355.537585528,224068.877221065,90944.1583559063,456424.414806593,0
6.6,240241.956588573,236367.524075138,94636.8831868039,476609.480663711,0
6.8,247455.864905393,248507.089306296,98275.6251327916,495962.954211689,0
7,253966.605640745,260448.354415663,101846.165687417,514414.960056408,0
7.2,259648.427313207,272127.796189822,105321.669022799,531776.223503029,0
7.4,264661.9511101,283576.776118383,108708.592798687,548238.727228483,0
7.6,269047.595307923,294792.918993405,112002.515335825,563840.514301327,0
7.8,272756.552447761,305744.788523395,115185.787445985,578501.340971156,0
8,275807.115184289,316428.8490162,118250.158516206,592235.964200489,0
8.2,278132.345684578,326809.784781608,121169.462568495,604942.130466186,0
8.4,279905.669918349,336953.415569582,123967.236438678,616859.085487931,0
8.6,281181.023115222,346875.317299568,126646.702396127,628056.340414789,0
8.8,281938.433336156,356559.897490935,129194.049567169,638498.330827092,0
9,282208.383657178,366015.122084924,131607.623989643,648223.505742102,0
9.2,281957.965139055,375219.806609279,133867.090199068,657177.771748334,0
9.4,281322.297456564,384233.210329886,136003.888873878,665555.50778645,0
9.6,280345.844173234,393070.628745677,138025.741088663,673416.472918911,0
9.8,279021.309703085,401721.296762121,139923.55910983,680742.606465206,0
10,277374.628618688,410191.81435334,141699.907248942,687566.442972028,0
10.2,275390.813322339,418464.620282118,143341.095799715,693855.433604456,0
10.4,273161.490458854,426585.054562029,144877.933318843,699746.545020883,0
10.6,270718.102532933,434564.358805768,146319.217753543,705282.461338701,0
10.8,268059.258790132,442392.52035709,147659.570114862,710451.779147222,0
11,265204.212795508,450073.076887714,148903.135873278,715277.289683223,0
11.2,262147.854284465,457588.882169112,150041.350993466,719736.736453577,0
11.4,258948.018321259,464975.782882388,151099.804316915,723923.801203647,0
11.6,255625.554497883,472242.177794315,152086.28127933,727867.732292198,0
11.8,252182.401751711,479378.262589178,152997.764078614,731560.66434089,0
12,248632.307723862,486385.721111855,153838.301606055,735018.028835717,0
12.2,244976.480400729,493247.782786518,154602.706871268,738224.263187248,0
12.4,241248.528437263,499994.932439796,155310.194179677,741243.460877059,0
12.6,237461.560518905,506634.086428254,155966.798080037,744095.646947158,0
12.8,233619.514287198,513155.830289467,156570.850999867,746775.344576664,0
13,229732.03790665,519561.016130398,157125.623008114,749293.054037049,0
13.2,225804.365074714,525833.552721896,157627.993998894,751637.91779661,0
13.4,221853.234200933,532000.720483158,158091.505515472,753853.954684092,0
13.6,217886.261989887,538068.645542819,158520.485078884,755954.907532706,0
13.8,213908.520622859,544028.418702989,158914.00253921,757936.939325848,0
14,209926.666583865,549880.537167054,159274.450749502,759807.20375092,0
14.2,205948.358781804,555609.714786443,159599.942395863,761558.073568247,0
14.4,201978.856642767,561240.989903332,159899.645291383,763219.846546098,0
14.6,198021.962065885,566779.982440424,160176.518781285,764801.944506309,0
