time,S,R,F,T,dose_u1
7.2,198437.540911289,272370.175056008,105302.291513951,470807.715967297,1.5
7.4,184872.703537272,289268.648125999,108689.99338172,474141.35166327,1.5
7.6,171706.492170682,307304.728183165,111984.561867659,479011.220353846,1.5
7.8,158952.000201562,326539.521938053,115168.474024305,485491.522139615,1.5
8,146597.703289726,346899.028883279,118233.520030232,493496.732173004,0
8.2,151346.292903312,367418.291885805,121153.531527896,518764.584789117,0
8.4,155454.36630487,387191.100994783,123952.030217265,542645.467299653,0
8.6,158946.779506111,406157.534975784,126632.231317331,565104.314481895,0
8.8,161767.366641077,424164.179987124,129180.31867132,585931.546628201,0
9,163932.888224918,441162.714808173,131594.631999529,605095.603033091,1.5
9.2,145194.427567878,458399.226374864,133863.301771607,603593.653942741,1.5
9.4,128177.341585265,476771.028279737,136011.968559631,604948.369865002,1.5
9.6,112798.895697314,496073.444257888,138034.438168199,608872.339955202,1.5
9.8,98914.8380642749,516019.313955732,139931.591284671,614934.152020007,1.5
10,86387.4723750909,536308.718101098,141707.280662093,622696.190476189,0
10.2,87011.9996341295,555637.753832978,143347.980442311,642649.753467108,0
10.4,87287.8310119349,573307.651966195,144884.349266878,660595.48297813,0
10.6,87263.2141842412,589463.074653511,146325.184885253,676726.288837752,0
10.8,86942.9497594901,604043.837268984,147665.11089909,690986.787028474,0
11,86363.3375987716,617161.529518993,148908.273252541,703524.867117764,1.5
11.2,72835.5006546067,629858.965448522,150055.079302828,702694.466103129,1.5
11.4,61167.4176094486,643084.177330373,151120.978697914,704251.594939821,1.5
11.6,51195.5413860285,656506.552558938,152106.518103968,707702.093944966,1.5
11.8,42697.7888400658,669809.610255585,153016.182569716,712507.399095651,1.5
12,35468.3157449048,682725.605056806,153855.112687384,718193.920801711,0
12.2,35048.6774893201,694525.608230705,154618.204363728,729574.285720025,0
12.4,34554.5942974119,704882.785161407,155324.464564959,739437.379458819,0
12.6,34002.1872865836,714017.546516455,155979.920252014,748019.733803039,0
12.8,33397.9614053229,721963.357678647,156582.907980025,755361.31908397,0
13,32753.4142654622,728872.0944436,157136.694084522,761625.508709062,1.5
13.2,26489.5269264287,735169.399032133,157643.313383721,761658.925958562,1.5
