0,20000,20000,20000
1,32723.8431395126,32723.8431395126,32723.8431395126
2,51727.0185541259,51727.0185541259,51727.0185541259
3,77893.9705490553,77893.9705490553,77893.9705490553
4,110224.257437107,110224.257437107,110224.257437107
5,145285.854504817,145285.854504817,145285.854504817
6,178373.221268571,178373.221268571,178373.221268571
7,205775.902351406,205775.902351406,205775.902351406
8,226136.465880344,226136.465880344,226136.465880344
9,240080.08615575,240080.08615575,240080.08615575
10,249107.981401858,249107.981401858,249107.981401858
