10000,10000,10000
19713.4720221427,19713.4720221427,19713.4720221427
35489.9965299879,35489.9965299879,35489.9965299879
56000.0878445517,56000.0878445517,56000.0878445517
76136.6041419835,76136.6041419835,76136.6041419835
91133.7088475028,91133.7088475028,91133.7088475028
100162.95072267,100162.95072267,100162.95072267
104920.279205464,104920.279205464,104920.279205464
107251.538435658,107251.538435658,107251.538435658
108353.33935228,108353.33935228,108353.33935228
108865.163566688,108865.163566688,108865.163566688
