10000,10000,10000
15318.1033775848,15318.1033775848,15318.1033775848
23038.8297836204,23038.8297836204,23038.8297836204
33761.9527120644,33761.9527120644,33761.9527120644
47773.5968549601,47773.5968549601,47773.5968549601
64691.646733865,64691.646733865,64691.646733865
83274.6547507191,83274.6547507191,83274.6547507191
101680.062436736,101680.062436736,101680.062436736
118133.004854379,118133.004854379,118133.004854379
131546.020138138,131546.020138138,131546.020138138
141683.081873249,141683.081873249,141683.081873249
