time,S,R,F,T,dose_u1
0,22500,7500,10000,30000,0
0.2,24838.6927735518,8472.46472771696,11530.8223896957,33311.1575012687,0
0.4,27330.4782859696,9557.388893033,13248.314434902,36887.8671790026,0
0.6,29982.9992133585,10774.9643130793,15179.5646544479,40757.9635264378,0
0.8,32792.3890468386,12141.3950651226,17341.1057543319,44933.7841119612,0
1,35749.9381558038,13673.5518754288,19745.4789762281,49423.4900312326,0.25
1.2,38850.3069745973,15410.6680587623,22429.0407668668,54260.9750333596,0.25
1.4,42056.1218868667,17339.4853553928,25349.3097922842,59395.6072422595,0.25
1.6,45356.6494734987,19493.2422785036,28519.3332542131,64849.8917520023,0.25
1.8,48731.4308563399,21899.9361823306,31934.8499384808,70631.3670386705,0.25
2,52155.2213424819,24586.3708806711,35579.7943081939,76741.592223153,0.5
2.2,55453.5042271341,27605.0068020757,39448.7707374398,83058.5110292098,0.5
2.4,58699.2959661189,30939.2953756019,43471.7010208267,89638.5913417207,0.5
2.6,61856.7039765587,34640.4284197459,47620.8097519586,96497.1323963045,0.5
2.8,64888.3749781056,38752.4305624309,51854.409768729,103640.805540537,0.5
3,67758.3736328475,43315.4179911471,56123.6605323567,111073.791623995,0.25
3.2,70675.4695614949,48472.5799071992,60369.7029803319,119148.049468694,0.25
3.4,73433.2437855226,54145.03329047,64548.5249463598,127578.277075993,0.25
3.6,76000.0858866003,60409.6559544222,68612.5769254393,136409.741841022,0.25
3.8,78349.0679920108,67333.9279164669,72518.5420310784,145682.995908478,0.25
4,80458.6901243811,74974.9581424769,76231.5292188054,155433.648266858,0
4.2,82310.2228711749,83513.265888768,79696.5660181847,165823.488759943,0
4.4,83906.0765101775,92840.6576638854,82940.1976173584,176746.734174063,0
4.6,85213.739305967,103055.261100169,85939.610304638,188269.000406136,0
4.8,86202.4966224407,114248.82126922,88683.0733787847,200451.317891661,0
5,86847.7016902387,126486.733666497,91172.2364672925,213334.435356736,0
