time,S,R,F,T,dose_u1
5.4,93122.2081492793,154577.572212371,95386.1470053086,247699.780361651,0
5.6,93241.530843569,170234.428788408,97177.0105217817,263475.959631977,0
5.8,92969.1886715428,187142.199867368,98763.3371883439,280111.38853891,0
6,92243.4183868771,205343.039566735,100161.176007135,297586.457953613,0
6.2,90950.1585439544,225077.582111221,101366.5014511,316027.740655176,0
6.4,89151.6106368712,246079.708383143,102432.535931271,335231.319020014,0
6.6,86816.1687284335,268338.236462041,103372.80001611,355154.405190474,0
6.8,83861.5949502437,291942.554995891,104191.319562312,375804.149946135,0
7,80241.1521455246,316881.102907975,104901.382560611,397122.2550535,0
7.2,75814.3265387005,343286.909736334,105506.01848068,419101.236275034,0
7.4,70687.7346390261,370844.707479825,106035.850932216,441532.442118851,0
7.6,64805.4971530958,399534.851287781,106496.564855615,464340.348440877,0
7.8,58104.5774413385,429332.976810767,106893.849420789,487437.554252105,0
8,50557.9517514212,460152.286208283,107235.868746665,510710.237959705,0
8.2,42068.7976511978,491971.423895615,107526.501943485,534040.221546812,0
8.4,32764.6714297688,524534.276481594,107779.544096228,557298.947911363,0
8.6,22588.0733443123,557783.422693076,107997.304327843,580371.496037389,0
8.8,11533.318678247,591608.037547261,108184.209616935,603141.356225508,0
9,-389.157665752665,625888.090863575,108344.540328847,625498.933197822,0
9.2,-13165.6814073693,660508.167058306,108481.867941709,647342.485650937,0
9.4,-26761.4146909908,695342.427249029,108599.802492386,668581.012558038,0
9.6,-41156.9797107775,730289.129324095,108700.788827104,689132.149613317,0
9.8,-56317.6329226382,765248.407163925,108787.230031374,708930.774241286,0
10,-72205.9120043926,800124.896444306,108861.259450361,727918.984439914,0
10.2,-88866.5173719119,834816.234866237,108923.600953882,745949.717494325,0
10.4,-106123.109424123,869291.234304635,108977.764307603,763168.124880511,0
10.6,-123964.375352085,903482.037373927,109024.44143817,779517.662021842,0
10.8,-142374.921846509,937331.459395298,109064.397245314,794956.537548788,0
11,-161318.894517597,970802.98182533,109098.563153502,809484.087307732,0
11.2,-180843.410085918,1003810.17349102,109127.123554223,822966.763405103,0
11.4,-200807.454572837,1036429.75814592,109151.849331318,835622.303573079,0
11.6,-221160.649523985,1068668.69611996,109173.375746721,847508.04659598,0
11.8,-241917.070529225,1100485.46238889,109191.823451527,858568.391859661,0
12,-263057.490107729,1131883.74135183,109207.601371277,868826.251244096,0
12.2,-284625.119008402,1162821.75948533,109220.775891586,878196.640476929,0
12.4,-306523.958784587,1193411.17566388,109232.178836334,886887.216879294,0
12.6,-328723.492853516,1223683.39788861,109242.104306614,894959.905035096,0
12.8,-351243.933783076,1253628.14999824,109250.608568307,902384.216215165,0
13,-374081.377618928,1283272.56967289,109257.880838184,909191.192053959,0
13.2,-397287.291948559,1312616.63711016,109263.952166029,915329.345161604,0
13.4,-420792.06279737,1341756.43163385,109269.206506444,920964.368836482,0
13.6,-444579.049498628,1370727.01749118,109273.779618641,926147.967992555,0
13.8,-468678.859004147,1399542.22437582,109277.697562032,930863.365371676,0
14,-493099.801815292,1428237.64478468,109281.047659273,935137.842969386,0
14.2,-517907.956729019,1456847.4612597,109283.844309971,938939.504530676,0
14.4,-543040.79613526,1485429.3028545,109286.264507302,942388.506719245,0
14.6,-568488.940450211,1514011.82832173,109288.370834355,945522.887871524,0
14.8,-594294.791217776,1542627.27937626,109290.17532252,948332.488158488,0
15,-620475.340463026,1571312.71330532,109291.718221813,950837.372842295,0
15.2,-647114.722561413,1600131.01535907,109293.006184397,953016.292797657,0
15.4,-674143.962596273,1629096.27847366,109294.120750112,954952.315877388,0
15.6,-701556.417323155,1658228.00197993,109295.090750998,956671.584656778,0
15.8,-729407.411381674,1687574.22343216,109295.921733811,958166.81205049,0
16,-757720.715016803,1717171.96658965,109296.632240788,959451.251572851,0
16.2,-786601.930181286,1747111.00567382,109297.225339579,960509.075492535,0
16.4,-815967.104130578,1777364.01902735,109297.738584679,961396.91489677,0
16.6,-845809.946327318,1807942.02025215,109298.185255223,962132.073924833,0
16.8,-876200.743830527,1838908.93287203,109298.567906698,962708.189041508,0
17,-907169.974185282,1870303.12537921,109298.895078876,963133.151193931,0
17.2,-938849.617224415,1902243.01738263,109299.168185255,963393.400158215,0
17.4,-971134.866735751,1934663.04128171,109299.404519944,963528.174545957,0
17.6,-1004018.91540538,1967567.57484021,109299.610198093,963548.65943483,0
17.8,-1037590.61614335,2001038.85357554,109299.786396699,963448.237432193,0
18,-1071888.76546426,2035119.51036272,109299.937048355,963230.744898464,0
18.2,-1107079.32928494,2069962.01053188,109300.062804121,962882.681246933,0
18.4,-1143031.34654646,2105463.96228386,109300.171627585,962432.615737398,0
18.6,-1179737.67711829,2141625.25471726,109300.266334653,961887.577598967,0
18.8,-1217311.6788369,2178551.39245283,109300.347467347,961239.713615931,0
19,-1255803.92040434,2216293.51810291,109300.416836537,960489.597698567,0
19.2,-1295426.32175324,2255048.11286215,109300.474742055,959621.791108907,0
19.4,-1336015.44546673,2294674.45105302,109300.524850869,958659.005586288,0
19.6,-1377564.99765398,2335170.33233615,109300.568459615,957605.334682171,0
19.8,-1420222.50622082,2376673.01745131,109300.605817881,956450.51123049,0
20,-1464056.42180012,2419248.42099451,109300.637759515,955191.999194397,0
20.2,-1509343.92874774,2463153.9235553,109300.664422583,953809.994807564,0
20.4,-1555880.36682834,2508205.27666755,109300.687495586,952324.909839208,0
20.6,-1603662.96838109,2554401.41232731,109300.707575571,950738.443946221,0
20.8,-1652889.57643929,2601925.67236173,109300.724777468,949036.095922442,0
21,-1703657.31421636,2650868.85539559,109300.73948523,947211.541179226,0
21.2,-1756341.18250185,2701578.04989596,109300.751762434,945236.867394111,0
