Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,30000,30000,30000,10000,10000,10000
1,51451.69839,42424.82252,46128.52627,6559.61741,8018.844224,8874.632702
2,124210.6544,99535.41023,101491.7301,9983.514447,13699.67534,11975.36746
3,104538.7837,91761.73911,98327.00819,14625.82618,18317.73768,16080.20311
4,295814.089,196017.6263,300449.8104,23520.15173,26870.47924,26561.84704
5,218580.4354,225218.1398,194826.5117,28971.74786,34077.47723,21475.65407
6,421129.7727,343313.8989,333575.8509,40267.89763,55494.26786,37423.7371
7,348953.7212,260786.9351,262831.2959,53404.6937,77662.65279,59299.33016
8,584378.5676,634440.8735,635002.4621,77928.57477,120542.0928,88788.95902
9,335409.4571,304137.576,253319.4908,119635.4197,167825.4182,116392.9629
10,627377.7879,561661.1882,515057.452,225598.953,269342.747,261762.2497
11,485388.7296,363352.3658,255785.1457,278659.5009,358401.461,286590.0499
12,579362.8935,366649.9704,334575.4931,386202.0413,315402.4558,319693.2296
13,432762.7544,350400.4127,271153.2967,451873.545,514331.1631,475512.3036
14,582020.6074,597591.5537,572281.9141,590184.8698,627279.1476,643589.9742
