Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,10000,10000,10000,30000,30000,30000
1,17905.51754,13667.25156,15247.432,28763.14441,24485.49271,25828.10732
2,22404.89474,24424.69322,23832.34312,36753.37826,36364.60572,36350.21253
3,24112.61917,30382.49544,27816.96827,47709.46939,45752.58244,49694.02803
4,40779.83361,48446.33806,42205.79574,72146.48287,69880.10326,71269.10461
5,58316.56482,76111.25872,65749.35595,100438.7197,90597.63133,87363.19246
6,107942.3425,129486.1491,95812.11141,170986.6004,127794.5975,134737.7269
7,105306.101,190715.7897,120018.8143,244136.4411,191308.922,198117.4086
8,138133.6589,184505.3244,104353.7452,282938.5411,214505.3248,224847.2414
9,116427.7529,215056.3923,85074.16704,418186.1897,336634.3644,318142.8133
10,179528.4102,214670.8856,157366.8112,378147.6639,351905.9284,402507.3922
11,124290.4232,244231.7568,160549.4659,481669.6158,491115.2826,497502.2404
12,152261.2382,214407.6037,168669.9033,385684.043,365306.2607,376244.8297
13,110771.8948,207799.0181,157871.6679,471941.3262,507890.0744,514745.5735
14,141849.7807,240815.7799,152987.9965,477241.657,504861.8531,456781.8178
