Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,15000,15000,15000,15000,15000,15000
1,94014.95104,65916.24871,67720.57742,55936.97139,40550.27051,41043.32413
2,279745.663,197172.9143,184231.2129,78164.36535,68468.95369,63828.81919
3,521908.3815,355571.1004,362242.5519,85386.44317,67583.8769,78373.44901
4,877368.8561,622359.2781,667435.7892,91339.20864,49589.57529,61232.55222
5,897174.9959,736980.964,765843.2702,61063.5887,44859.25738,49316.97386
6,957117.7933,834959.0134,866952.6377,29637.83481,22489.07882,31821.63611
7,1033012.867,896434.7201,942150.4417,34019.51771,24952.19141,36995.18773
8,1096651.585,964357.4975,1014963.531,14590.69498,17868.23953,23291.09926
9,1094628.125,952894.4007,1049729.478,18372.20973,19802.00264,25570.0903
10,1169752.816,1092522.374,1069374.129,12746.83714,14796.75398,12241.82397
11,1143186.258,1157900.929,1117905.11,9416.760923,16317.49516,12902.21405
12,1217505.904,1157205.015,1173421.515,12590.87617,7266.752325,20394.07028
13,1190898.809,1162702.761,1121077.417,11723.12683,15820.93016,11979.90618
14,1287482.144,1236516.838,1188233.462,27951.08523,19668.31635,23950.45331
