Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,22500,22500,22500,7500,7500,7500
1,118630.9885,66146.71356,81915.73785,25188.9837,12963.49983,19230.41228
2,331348.8244,213574.0916,220596.0902,32489.52873,20434.85098,23384.68975
3,557292.2623,377192.416,386521.2881,30591.92242,19956.15578,27782.29555
4,872747.7386,662086.8771,675493.0891,27475.62329,13791.28199,17738.10981
5,927000.3593,727560.2397,702578.3928,13835.08735,10492.00859,14118.01432
6,956100.9875,840184.8186,846040.7951,6433.094678,5566.061522,7908.848454
7,1113800.617,959851.6299,1004440.928,6410.114249,7284.900258,7449.274642
8,1056562.383,977271.7337,1036717.584,2897.39403,3765.487554,3731.364572
9,1163816.078,1035993.474,1139479.143,3478.166137,5801.320621,6647.288963
10,1211867.007,1093800.656,1139028.643,2797.093671,1058.431273,2689.718399
11,1205946.262,1144413.191,1221472.34,1989.037821,3846.51008,4617.119303
12,1236835.4,1128144.055,1187409.851,3897.140032,1291.272386,5309.49077
13,1229153.366,1176116.518,1194122.675,7984.200619,10795.23552,7921.36427
14,1281772.394,1246407.809,1256350.79,42609.08401,31664.82684,20089.47356
