0,22500,22500,22500
1,64154.5448210535,64154.5448210535,64154.5448210535
2,170239.49512939,170239.49512939,170239.49512939
3,385096.050183099,385096.050183099,385096.050183099
4,672011.460301441,672011.460301441,672011.460301441
5,899152.229000744,899152.229000744,899152.229000744
6,1015725.55241249,1015725.55241249,1015725.55241249
7,1062531.4089791,1062531.4089791,1062531.4089791
8,1079437.10630329,1079437.10630329,1079437.10630329
9,1085306.3828383,1085306.3828383,1085306.3828383
10,1087316.03096429,1087316.03096429,1087316.03096429
