0,15000,15000,15000
1,20659.0503616495,20659.0503616495,20659.0503616495
2,27995.6287270504,27995.6287270504,27995.6287270504
3,36563.1345787562,36563.1345787562,36563.1345787562
4,44646.1236207254,44646.1236207254,44646.1236207254
5,50196.6710490382,50196.6710490382,50196.6710490382
6,52979.0709907986,52979.0709907986,52979.0709907986
7,54112.9640914822,54112.9640914822,54112.9640914822
8,54531.4735164315,54531.4735164315,54531.4735164315
9,54679.9766332669,54679.9766332669,54679.9766332669
10,54731.920791703,54731.920791703,54731.920791703
