time,S,R,F,T
6.4,98176.9294335195,440461.817562937,90809.1807042468,538638.746996456
6.6,99428.3177281404,454497.753352035,94505.534649301,553926.071080176
6.8,100419.806252993,467978.966433808,98155.9959421764,568398.772686801
7,101178.516953451,480974.400313766,101739.921524025,582152.917267217
7.2,101721.178296194,493518.08474549,105241.769106931,595239.263041684
7.4,102068.319937789,505655.821549805,108645.858114695,607724.141487594
7.6,102204.906180773,517314.357752964,111952.722442099,619519.263933738
7.8,102146.086831733,528519.895457436,115151.797720628,630665.98228917
8,101918.291398573,539335.262174993,118229.274739419,641253.553573566
8.2,101540.615321132,549798.051674422,121175.831556324,651338.666995554
8.4,101020.07603708,559905.598161473,123988.695590051,660925.674198553
8.6,100344.767519261,569592.588650844,126674.531961845,669937.356170105
8.8,99543.9627414662,578927.624062482,129224.084149399,678471.586803948
9,98630.8208497407,587925.846855532,131636.347848149,686556.667705272
9.2,97618.8026797911,596602.626880596,133911.644686608,694221.429560387
9.4,96501.6698232956,604924.235935863,136054.282789611,701425.905759158
9.6,95296.676088712,612914.364693206,138066.811365878,708211.040781918
9.8,94013.1711093287,620576.694264449,139954.197117365,714589.865373778
10,92659.7673503993,627912.571166629,141722.870869983,720572.338517028
10.2,91244.5015460849,634939.199781452,143373.146354255,726183.701327537
10.4,89775.0757249082,641669.638930942,144907.938927624,731444.71465585
10.6,88258.993958335,648101.452703121,146337.712242466,736360.446661456
10.8,86703.2839302242,654239.818237274,147670.406452412,740943.102167498
11,85114.790505783,660094.618854724,148911.959190919,745209.409360508
11.2,83500.8650746395,665697.962717626,150056.071721306,749198.827792266
11.4,81867.2093121143,671049.385135189,151116.220027515,752916.594447304
11.6,80219.6733116214,676161.545502228,152098.960098574,756381.21881385
11.8,78563.7681221903,681047.839144175,153011.164699458,759611.607266365
12,76895.7793653471,685717.592592047,153848.430277042,762613.371957394
12.2,75225.2023679457,690180.745255577,154618.194730071,765405.947623522
12.4,73559.1633121555,694448.775213934,155327.133569265,768007.93852609
12.6,71903.156871358,698532.737236897,155980.172736753,770435.894108255
12.8,70262.6777189349,702443.686094245,156582.238174666,772706.36381318
13,68635.2654210501,706185.569925941,157135.215530832,774820.835346992
13.2,67012.0609137135,709756.620708164,157638.545015422,776768.681621878
13.4,65407.1585574817,713175.575670724,158100.439211358,778582.734228206
13.6,63824.0440045367,716451.694840782,158525.056250163,780275.738845319
13.8,62266.2029070607,719594.238245499,158916.55426336,781860.441152559
14,60737.1209172357,722612.465912035,159279.091382471,783349.58682927
14.2,59221.4430630675,725489.893847931,159604.970363774,784711.336910998
14.4,57729.2313723144,728244.768106516,159902.487492575,785973.99947883
14.6,56263.930847954,730886.293171465,160175.775322073,787150.224019419
14.8,54827.3556127805,733421.445075261,160427.940181689,788248.800688042
15,53421.3197895878,735857.199850386,160662.088400841,789278.519639974
15.2,52042.2739716794,738193.031583179,160876.267048442,790235.305554858
15.4,50685.6727878743,740427.021308642,161067.583729232,791112.694096517
15.6,49357.4692135829,742571.934055008,161243.04883126,791929.403268591
15.8,48058.3780765232,744633.208275358,161404.731751051,792691.586351882
16,46789.1142044133,746616.282422775,161554.701885129,793405.396627188
16.2,45550.3924249712,748526.59495034,161695.028630018,794076.987375312
16.4,44334.8769388069,750356.052368554,161818.072032666,794690.929307361
16.6,43147.0039570254,752116.348239031,161930.389613531,795263.352196057
16.8,41987.0044490185,753812.107718821,162033.467218369,795799.11216784
17,40854.9460403728,755447.681407605,162128.593694356,796302.627447978
17.2,39750.896356675,757027.419905063,162217.057888669,796778.316261738
17.4,38670.8818891299,758565.661781831,162301.050470778,797236.543670961
17.6,37613.4155567355,760059.98393566,162379.143101413,797673.399492396
17.8,36581.7951410045,761499.544942605,162449.823237123,798081.34008361
18,35576.0206419367,762884.344802667,162513.090877907,798460.365444603
18.2,34596.0920595322,764214.383515844,162568.946023766,798810.475575376
18.4,33642.0093937911,765489.661082138,162617.3886747,799131.670475929
18.6,32713.7726447132,766710.177501547,162658.418830708,799423.950146261
18.8,31806.5642990092,767901.138206767,162698.134221663,799707.702505776
19,30918.5627149186,769072.074104309,162738.840576415,799990.636819228
19.2,30053.8658741872,770201.544380862,162775.350906532,800255.410255049
19.4,29212.4737768148,771289.549036423,162807.665212014,800502.022813238
19.6,28394.3864228015,772336.088070995,162835.78349286,800730.474493796
19.8,27599.6038121474,773341.161484576,162859.705749071,800940.765296723
20,26828.1259448524,774304.769277167,162879.431980647,801132.895222019
20.2,26074.3660912943,775245.834973395,162898.720070918,801320.201064689
20.4,25336.0234685791,776172.151848521,162919.117629,801508.1753171
20.6,24617.9920037915,777067.143057777,162937.332781424,801685.135061568
20.8,23920.2716969316,777930.808601163,162953.36552819,801851.080298094
21,23242.8625479993,778763.148478678,162967.2158693,802006.011026677
21.2,22585.7645569946,779564.162690323,162978.883804752,802149.927247317
21.4,21948.9777239176,780333.851236097,162988.369334547,802282.828960015
21.6,21328.1024792419,781083.298252303,162997.371269083,802411.400731545
21.8,20720.7527202232,781818.515210719,163006.810956718,802539.267930943
22,20130.7530110293,782529.866625357,163015.211614475,802660.619636386
22.2,19558.1033516602,783217.352496215,163022.573242354,802775.455847875
22.4,19002.803742116,783880.972823294,163028.895840356,802883.77656541
22.6,18464.8541823967,784520.727606594,163034.17940848,802985.58178899
22.8,17937.1326295762,785150.254828381,163039.874322715,803087.387457957
23,17423.8041898398,785761.578737193,163045.132375591,803185.382927032
23.2,16925.4275026725,786353.629595668,163049.839802379,803279.057098341
23.4,16442.0025680745,786926.407403809,163053.996603079,803368.409971883
23.6,15973.5293860455,787479.912161614,163057.602777689,803453.441547659
23.8,15517.9424550122,788017.397433708,163060.888913331,803535.33988872
24,15071.928142661,788544.082832129,163064.224935127,803616.01097479
24.2,14638.8134353352,789054.727709658,163067.239427144,803693.541144993
24.4,14218.598333035,789549.332066295,163069.932389383,803767.93039933
24.6,13811.2828357604,790027.895902041,163072.303821844,803839.178737801
24.8,13416.8669435112,790490.419216895,163074.353724527,803907.286160406
25,13033.7633804744,790939.29205501,163076.231685567,803973.055435484
