time,S,R,F,T
8,65451.1557968435,438914.13475064,118185.935507655,504365.290547483
8.2,59818.6143906156,463955.845021494,121130.723164586,523774.45941211
8.4,54319.4992940866,488595.66813493,123943.961862217,542915.167429017
8.6,48930.4980545632,512753.359035937,126633.150369488,561683.8570905
8.8,43766.7245123929,536183.932455679,129187.437900852,579950.656968072
9,38899.3458042198,558691.955808571,131602.213587912,597591.301612791
9.2,34362.0146483858,580134.497638565,133879.757234467,614496.512286951
9.4,30156.2623685658,600413.614280987,136028.272433737,630569.876649553
9.6,26323.0630391108,619387.268550348,138047.768070229,645710.331589459
9.8,22825.8074566109,637107.606599791,139945.141454285,659933.414056402
10,19675.423857743,653542.001259372,141720.904619146,673217.425117115
10.2,16861.02194377,668678.227386157,143381.848097452,685539.249329927
10.4,14373.9365754626,682545.552424721,144928.890922563,696919.489000183
10.6,12191.5964306731,695185.296356273,146368.442171434,707376.892786946
10.8,10286.1297358386,706668.097839712,147706.585679821,716954.227575551
11,8636.41849044681,717052.044104344,148947.910168712,725688.462594791
11.2,7217.27614870255,726409.19337128,150097.879444453,733626.469519983
11.4,6005.25574455565,734810.752719428,151161.563415538,740816.008463984
11.6,4974.95097467843,742337.753598989,152144.521583161,747312.704573668
11.8,4103.59399763792,749067.03199099,153051.977598234,753170.625988628
12,3370.70022237627,755071.088676673,153888.851393278,758441.78889905
12.2,2758.82032721952,760414.390382081,154659.556686304,763173.210709301
12.4,2249.68658178861,765166.187139361,155368.879586196,767415.873721149
12.6,1828.62611615142,769385.695449781,156021.058661427,771214.321565933
12.8,1481.00901119314,773132.686892609,156620.408834328,774613.695903802
13,1195.32220361069,776458.943213043,157170.88293885,777654.265416654
13.2,961.469294772137,779411.144228086,157676.160091786,780372.613522858
13.4,770.278123490085,782033.230720153,158139.787622979,782803.508843643
13.6,615.069103663632,784360.792836444,158564.887037946,784975.861940108
13.8,489.301130654367,786428.533649332,158954.525149184,786917.834779986
14,387.949635447703,788265.65163316,159311.472532061,788653.601268608
14.2,306.655580533792,789898.420104256,159638.32175177,790205.075684789
14.4,241.658826961774,791350.539803466,159937.500950352,791592.198630428
14.6,189.891696314431,792642.793958067,160211.249007768,792832.685654381
14.8,148.73979186583,793793.93733578,160461.665984517,793942.677127646
15,116.051488776439,794820.610319597,160690.70431895,794936.661808374
15.2,90.2802710914515,795736.570253617,160900.107461547,795826.850524708
15.4,69.9879575334278,796554.598019256,161091.523891518,796624.585976789
15.6,54.0984730068109,797285.59234357,161266.453307149,797339.690816577
15.8,41.7022516618569,797939.239289499,161426.278107739,797980.94154116
16,32.0496577344805,798524.187752784,161572.27816905,798556.237410518
16.2,24.5579287893411,799047.980403051,161705.625939329,799072.53833184
16.4,18.7599229235582,799517.294369622,161827.40016957,799536.054292545
16.6,14.2842434619353,799938.026258812,161938.591628278,799952.310502274
16.8,10.8447085066034,800315.334780756,162040.106199262,800326.179489263
17,8.21053821136314,800653.794905281,162132.775173603,800662.005443492
17.2,6.19700891415618,800957.466854315,162217.36099148,800963.663863229
17.4,4.66221762015037,801229.939030683,162294.561412938,801234.601248304
