time,S,R,F,T
0,22500,7500,10000,30000
0.2,25317.1055507522,8521.45730148817,10909.8668155617,33838.5628522404
0.4,28447.4460925072,9668.9518652963,11891.6519495183,38116.3979578035
0.6,31929.7143780008,10959.9683095854,12952.2405161253,42889.6826875862
0.8,35802.6125501163,12412.7649550442,14098.0376079054,48215.3775051605
1,40100.2694380134,14044.8215641309,15334.2335140608,54145.0910021443
1.2,44860.4810875599,15876.4563905455,16666.4242914532,60736.9374781054
1.4,50118.7573184824,17925.0378149337,18100.1785966164,68043.7951334161
1.6,55907.6088515791,20212.1326099251,19640.3577243971,76119.7414615042
1.8,62261.0863138395,22757.9391977532,21292.1165454123,85019.0255115928
2,69213.6290466814,25581.3633956181,23060.7935868596,94794.9924422996
2.2,76772.999008559,28702.0877290789,24949.2933219015,105475.086737638
2.4,84975.2511298675,32139.7267572675,26963.0142733103,117114.977887135
2.6,93828.3063878676,35909.8026220025,29105.1267790647,129738.10900987
2.8,103310.305074798,40021.5985566007,31376.5580199383,143331.903631399
3,113448.540276608,44494.6950653231,33781.9374905802,157943.235341931
3.2,124191.540358593,49326.8647881605,36319.6179518309,173518.405146753
3.4,135513.563088749,54523.4743966739,38990.0330104471,190037.037485423
3.6,147407.831002196,60095.0809550093,41795.130563308,207502.911957205
3.8,159707.662604747,65995.3380512386,44723.4620304144,225703.000655986
4,172418.532901635,72240.1459107383,47778.048819151,244658.678812374
4.2,185480.265757879,78820.9134620951,50956.1451377022,264301.179219974
4.4,198683.982402837,85665.3709807011,54239.2305733899,284349.353383539
4.6,212001.311625554,92778.5471586253,57627.9332531986,304779.858784179
4.8,225336.197009043,100135.05823561,61114.9030317876,325471.255244653
5,238506.240196559,107660.258257407,64676.7613430948,346166.498453965
5.2,251437.466922356,115341.362384063,68310.2573475338,366778.829306419
5.4,264022.682541326,123143.037089761,72003.5392137157,387165.719631087
5.6,276165.951709187,131014.470629209,75732.0158645221,407180.422338396
5.8,287756.642898509,138925.054176611,79487.7241015361,426681.69707512
6,298714.249382506,146844.220427342,83255.6994368294,445558.469809848
6.2,309072.032537287,154771.364719286,87014.0095526021,463843.397256573
6.4,318707.972359185,162664.986564939,90750.2324789374,481372.958924125
6.6,327589.658910041,170508.358408619,94449.0882839205,498098.017318661
6.8,335800.929391064,178318.960449737,98096.2345255035,514119.889840801
7,343238.182325886,186059.115776636,101675.817138541,529297.298102522
7.2,349865.248660781,193710.990648097,105172.525875252,543576.239308877
7.4,355821.41889843,201317.536761514,108582.781648567,557138.955659943
7.6,361070.275905483,208860.83443205,111891.257624193,569931.110337533
7.8,365595.509266407,216329.929657938,115083.971295515,581925.438924345
8,369450.919630371,223738.604266971,118157.769630198,593189.523897342
8.2,372711.161337323,231108.040769291,121113.315941562,603819.202106613
8.4,375364.350475582,238428.710463376,123935.436543892,613793.060938958
8.6,377437.553180202,245704.698530048,126617.438820229,623142.25171025
8.8,378993.959754572,252950.197762687,129176.804580918,631944.157517259
9,380049.057011754,260166.053425301,131599.092283817,640215.110437055
9.2,380634.46526158,267357.624965671,133880.656982601,647992.090227252
9.4,380774.518277886,274523.828000441,136033.363054101,655298.346278328
9.6,380497.880829706,281667.40825177,138059.856392712,662165.289081475
9.8,379836.13304175,288793.689629823,139956.577585759,668629.822671573
10,378809.080353178,295901.596437434,141730.339228255,674710.676790612
10.2,377422.449372414,302983.369863502,143396.809357646,680405.819235917
10.4,375717.413920366,310048.077619256,144949.360072491,685765.491539622
10.6,373719.977890583,317097.586366714,146390.90520255,690817.564257297
10.8,371456.145176614,324133.762767895,147724.358577583,695589.907944509
11,368930.597199325,331148.992964317,148960.741356552,700079.590163642
11.2,366149.330253275,338136.247724209,150110.57475106,704285.577977484
11.4,363149.443398414,345102.326906317,151172.553935373,708251.770304731
11.6,359952.155618545,352046.969678556,152151.412079768,711999.125297101
11.8,356578.68589747,358969.91520884,153051.882354525,715548.60110631
12,353022.457842458,365862.141061257,153881.755663679,718884.598903715
12.2,349298.453752901,372721.420488351,154646.451267171,722019.874241252
12.4,345433.519234994,379549.266270858,155350.083357759,724982.785505853
12.6,341444.500281935,386344.039131212,155997.866172815,727788.539413148
12.8,337348.242886922,393104.099791843,156595.013949711,730452.342678765
13,333131.785061077,399826.205743332,157140.515096074,732957.990804409
13.2,328817.778506315,406509.029970012,157640.796455817,735326.808476327
13.4,324423.4722727,413150.954872856,158101.156450589,737574.427145555
13.6,319962.17556906,419750.150947216,158526.070609007,739712.326516276
13.8,315446.571273936,426304.879765734,158919.766839011,741751.45103967
