time,S,R,F,T
0,30000,10000,10000,40000
0.2,33601.7406752112,11328.5179870175,10910.1707618911,44930.2586622287
0.4,37465.456476106,12812.6437626076,11892.2418325821,50278.1002387136
0.6,41595.6441562735,14472.5014163331,12953.0560213208,56068.1455726066
0.8,45987.9571420542,16328.8921835643,14099.0224368623,62316.8493256185
1,50628.8794625202,18401.7949307547,15335.6307289809,69030.6743932749
1.2,55494.4322149688,20712.9956647574,16668.2146436754,76207.4278797262
1.4,60566.0891601465,23283.3384300597,18102.1890714164,83849.4275902062
1.6,65800.7276653949,26138.2827501541,19642.7186242305,91939.010415549
1.8,71169.7643283333,29300.7974124962,21295.0392958757,100470.56174083
2,76617.6714609194,32799.5645082836,23063.7445205122,109417.235969203
2.2,82103.5892900957,36660.2681053893,24953.6042295242,118763.857395485
2.4,87563.6841498217,40914.227859697,26968.1402070286,128477.912009519
2.6,92946.5728203932,45590.2333063971,29111.249834914,138536.80612679
2.8,98184.9386309389,50722.4751238541,31384.9389586697,148907.413754793
3,103219.437047201,56345.9763401891,33790.1588485342,159565.41338739
3.2,107984.820930215,62500.4024108127,36325.629218405,170485.223341028
3.4,112423.440517928,69215.2269291452,38995.357420734,181638.667447074
3.6,116475.801660805,76525.9115600707,41799.9637248571,193001.713220875
3.8,120096.638869593,84489.8922297232,44725.3910870695,204586.531099316
4,123221.884985766,93135.5682027145,47776.9769800952,216357.453188481
4.2,125793.81803326,102501.13802864,50953.5136202942,228294.9560619
4.4,127813.315099349,112644.924181984,54236.4406905108,240458.239281333
4.6,129238.711713836,123610.63963567,57619.7954094503,252849.351349506
4.8,130015.153640225,135437.467770321,61101.5207896771,265452.621410546
5,130140.421995915,148165.533847797,64667.309299552,278305.955843712
5.2,129651.374385751,161831.77486182,68294.5155051384,291483.14924757
5.4,128490.980369488,176480.788173822,71980.5272302974,304971.76854331
5.6,126644.874904498,192149.84844388,75714.0383178161,318794.723348379
5.8,124227.020648234,208784.296619762,79465.048752231,333011.317267995
6,121187.605428858,226446.801615289,83227.4160596835,347634.407044147
6.2,117531.391982958,245160.934987074,86987.0476853779,362692.326970032
6.4,113369.834729225,264811.378348024,90724.4414090972,378181.213077249
6.6,108749.442656366,285367.358487732,94423.3879856711,394116.801144098
6.8,103677.025920359,306849.781656963,98069.6910485199,410526.807577322
7,98227.8667325824,329145.712053147,101649.77661576,427373.578785729
7.2,92533.6892068503,352006.884818194,105152.873451459,444540.574025045
7.4,86610.4017000348,375462.723058546,108562.459235299,462073.124758581
7.6,80518.9026915118,399432.265755858,111864.479806637,479951.16844737
7.8,74393.7716205269,423486.242017228,115064.530289264,497880.013637755
8,68278.3946715693,447626.476190381,118143.886332792,515904.87086195
8.2,62246.1909622414,471712.818805334,121091.832788208,533959.009767575
8.4,56356.3774107225,495475.451200073,123913.800066986,551831.828610796
8.6,50674.9494672832,518706.444195561,126607.512506589,569381.393662844
8.8,45275.5215803074,541267.431734641,129162.032899091,586542.953314948
9,40206.1574933154,562994.429616532,131576.114072334,603200.587109848
9.2,35460.83360561,583762.27236796,133860.348066093,619223.10597357
9.4,31104.9047661585,603394.565884858,136009.702847539,634499.470651016
9.6,27120.6831975139,621866.622228236,138030.513643902,648987.30542575
9.8,23516.8890496114,639094.564646939,139926.310118665,662611.45369655
10,20271.9245284528,655110.127933337,141701.604016478,675382.05246179
10.2,17382.581535505,669874.103964719,143360.359448163,687256.685500224
10.4,14821.0966427063,683453.724902433,144907.530573032,698274.82154514
10.6,12574.6568806458,695849.194479618,146347.514150918,708423.851360264
10.8,10613.3549445054,707140.596817534,147685.842141422,717753.951762039
11,8917.01941142731,717362.686653434,148927.339255829,726279.706064862
11.2,7456.72797579642,726599.061784295,150077.665025489,734055.789760091
11.4,6208.8565974677,734906.393323327,151141.942026866,741115.249920795
11.6,5148.6455165237,742366.287554417,152125.472910062,747514.93307094
11.8,4251.08168830381,749041.125294646,153033.516445407,753292.20698295
12,3498.60475620561,755002.802834072,153870.685270716,758501.407590277
12.2,2867.48303630331,760320.047899141,154642.143473811,763187.530935444
12.4,2339.91623130525,765056.880030281,155352.483134008,767396.796261586
12.6,1901.47616218371,769273.968604686,156005.967483787,771175.44476687
12.8,1540.18667863542,773021.679916637,156606.516094845,774561.866595273
13,1242.53676420385,776354.410940311,157158.217645364,777596.947704515
13.2,999.36295696835,779313.827612919,157664.581200517,780313.190569887
13.4,800.741323530273,781943.762518935,158129.186506047,782744.503842466
13.6,639.346603854242,784279.944278156,158555.215547766,784919.29088201
13.8,508.803993126393,786355.157851915,158945.662207553,786863.961845041
14,403.78746029115,788198.565785186,159303.299688549,788602.353245477
14.2,319.350166888484,789837.859123883,159630.812320335,790157.209290771
14.4,251.727301488653,791296.413782902,159930.619398709,791548.141084391
14.6,197.815759901221,792594.774761475,160204.955305497,792792.590521376
14.8,154.903872833062,793751.717682208,160455.928634483,793906.621555041
15,120.89211133645,794783.327913541,160685.460951206,794904.220024878
15.2,94.0321062195655,795703.832206298,160895.325114288,795797.864312517
15.4,72.8993413327974,796525.77513441,161087.155958333,796598.674475743
15.6,56.3468493930608,797260.183251934,161262.459396039,797316.530101327
15.8,43.4304810950035,797916.838174039,161422.625620658,797960.268655134
16,33.3742858677854,798504.430027319,161568.938062658,798537.804313187
16.2,25.5631235481669,799030.590113167,161702.574845447,799056.153236715
16.4,19.5167815213141,799502.000727923,161824.615481166,799521.517509444
16.6,14.8581714023272,799924.533691079,161936.048987363,799939.391862481
16.8,11.2787583367499,800303.414509487,162037.784984486,800314.693267823
17,8.54250727962585,800643.228025408,162130.655313638,800651.770532688
17.2,6.45106858688105,800948.08062099,162215.424635946,800954.531689577
17.4,4.85534999326183,801221.591601159,162292.792779735,801226.446951152
17.6,3.64173842952429,801466.962557046,162363.399985569,801470.604295475
17.8,2.72306325501558,801687.030865012,162427.831761715,801689.753928266
18,2.03132539083973,801884.320459547,162486.62359829,801886.351784938
18.2,1.5115151052357,802061.088542607,162540.265565597,802062.600057712
18.4,1.12110607925883,802219.351765325,162589.205930842,802220.472871404
18.6,0.828558069068846,802360.910121638,162633.854390828,802361.738679707
18.8,0.610257418934006,802487.372556775,162674.585263263,802487.982814193
19,0.448182059794719,802600.180770897,162711.740512553,802600.628952957
19.2,0.328616612545355,802700.628600837,162745.63253029,802700.95721745
