time,S,R,F,T
0,20000,20000,10000,40000
0.2,22441.4243950778,22656.5599411122,10910.1784483095,45097.98433619
0.4,25137.8891341726,25622.5539657577,11892.2697593286,50760.4430999303
0.6,28116.9410142294,28936.3096136166,12953.109038392,57053.250627846
0.8,31404.5734825593,32636.1311461384,14099.0955580387,64040.7046286977
1,35022.5249416988,36756.9232162742,15335.7386701316,71779.448157973
1.2,38988.5035940807,41332.3813470666,16668.2568636986,80320.8849411473
1.4,43324.7824936682,46397.8112798637,18102.2485469661,89722.5937735319
1.6,48040.289592457,51982.2241264737,19642.6998981872,100022.513718931
1.8,53150.586862366,58117.881454598,21294.8807523132,111268.468316964
2,58662.106050406,64829.8862977294,23063.5716141095,123491.992348135
2.2,64568.5018826663,72134.3240165058,24952.9050636827,136702.825899172
2.4,70878.4862032587,80057.5713782301,26967.7430847385,150936.057581489
2.6,77550.5589457915,88580.821714951,29109.8048362093,166131.380660743
2.8,84588.2396827951,97726.858653381,31383.6978805716,182315.098336176
3,91937.3557058881,107458.892192164,33789.5116539125,199396.247898052
3.2,99563.6707342502,117761.343424329,36328.9781658724,217325.014158579
3.4,107428.188995181,128610.73278657,39002.8064481089,236038.921781752
3.6,115451.03251982,139935.529096252,41807.3241925036,255386.561616072
3.8,123574.35423661,151692.182890059,44741.6843009128,275266.537126668
4,131730.847490142,163817.62534023,47801.0768409213,295548.472830371
4.2,139846.317871904,176239.267176516,50979.4312545369,316085.58504842
4.4,147834.186003904,188873.449249297,54270.6159069055,336707.635253202
4.6,155642.22814444,201663.189975288,57665.0218602949,357305.418119728
4.8,163191.044865741,214523.464259221,61152.6720357471,377714.509124962
5,170403.789883799,227369.157515412,64722.1149363,397772.947399212
5.2,177261.07150467,240176.194403549,68360.7405602673,417437.26590822
5.4,183695.993075379,252864.414841419,72054.1121102366,436560.407916798
5.6,189671.450553472,265386.229400797,75787.2311362897,455057.679954268
5.8,195183.986285781,277734.84799988,79545.8901801568,472918.834285662
6,200208.144793795,289870.704316829,83312.459027657,490078.849110624
6.2,204738.826616132,301781.192003667,87071.4365050052,506520.018619799
6.4,208780.932131543,313466.011069291,90808.063354363,522246.943200833
6.6,212346.985330681,324927.867783913,94504.2755806774,537274.853114594
6.8,215415.093814852,336132.667569162,98152.0105709769,551547.761384013
7,218006.015683476,347092.457283111,101735.599941735,565098.472966587
7.2,220153.507903401,357832.851560322,105238.093690824,577986.359463723
7.4,221889.884143935,368377.167439194,108644.34044786,590267.051583129
7.6,223220.091159552,378717.093088289,111946.881682016,601937.184247841
7.8,224123.372651516,388814.55664059,115145.579275578,612937.929292106
8,224660.541470922,398722.213356972,118223.604509661,623382.754827894
8.2,224863.827128829,408459.723350745,121172.093780534,633323.550479574
8.4,224766.232191662,418046.712222981,123983.543562286,642812.944414643
8.6,224319.088016436,427409.83883226,126669.336880899,651728.926848696
8.8,223583.007613024,436598.03980455,129219.14946095,660181.047417573
