time,S,R,F,T
0,30000,10000,10000,40000
0.2,33662.650821359,11328.4627177302,10910.1699024045,44991.1135390892
0.4,37709.1685893515,12812.1184869688,11892.2498101387,50521.2870763204
0.6,42181.6025955034,14470.4111176509,12953.0776079905,56652.0137131543
0.8,47119.9985264903,16322.9055044956,14099.0552539579,63442.9040309859
1,52558.2528290074,18387.5817290141,15335.6732224068,70945.8345580215
1.2,58525.3941932638,20682.3524014183,16668.1662586474,79207.7465946821
1.4,65056.3172970127,23225.4265229921,18102.139770446,88281.7438200048
1.6,72168.8923403382,26033.1525056961,19642.5768267895,98202.0448460343
1.8,79888.3647798755,29122.7490909154,21294.7127860734,109011.113870791
2,88231.3709129302,32509.2198729218,23063.4205686602,120740.590785852
2.2,97191.1220822772,36202.7525900299,24952.6555561968,133393.874672307
2.4,106790.795230132,40219.9691670388,26967.5614583599,147010.764397171
2.6,116972.245872855,44554.7472822951,29109.4774964376,161526.99315515
2.8,127746.454947359,49220.9014685742,31383.0430314525,176967.356415933
3,139057.460329771,54210.5580822189,33789.1193006219,193268.01841199
3.2,150842.1745132,59513.4323223745,36328.1402911444,210355.606835575
3.4,163061.531341561,65126.4875381451,39001.5351292779,228188.018879706
3.6,175578.230854609,71009.5022365097,41802.8484922218,246587.733091119
3.8,188363.711669472,77164.2803966633,44734.7896629357,265527.992066135
4,201321.575751752,83564.4410266581,47792.7609977819,284886.01677841
4.2,214306.352742992,90161.6489042822,50965.6141893559,304468.001647274
4.4,227258.092130821,96945.8291185896,54253.6169731618,324203.921249411
4.6,240066.375070304,103879.737369008,57645.2315047286,343946.112439312
4.8,252614.960681771,110922.213976245,61126.6956056313,363537.174658016
5,264813.313697502,118049.386551549,64694.0680394486,382862.700249051
5.2,276591.868142703,125232.98603736,68329.1338362956,401824.854180064
5.4,287868.742846221,132443.760172717,72017.7658171647,420312.503018938
5.6,298546.883022025,139651.245286842,75750.8733905826,438198.128308866
5.8,308660.821677458,146865.035546772,79506.4504415555,455525.85722423
6,318142.952439424,154062.120908339,83270.9430660188,472205.073347763
6.2,326928.897807279,161220.4823914,87030.6079662626,488149.380198679
6.4,335106.836064183,168363.166593963,90766.2075962346,503470.002658146
6.6,342592.323176566,175462.599658618,94463.9894331914,518054.922835184
6.8,349357.716467316,182507.864383864,98108.3961080056,531865.580851181
7,355471.740362981,189520.650075853,101687.721740042,544992.390438834
7.2,360960.220956504,196508.131078785,105188.545937884,557468.352035288
7.4,365793.298007528,203458.639862571,108595.222703411,569251.937870099
7.6,369998.382058155,210379.553730295,111897.861529216,580377.935788449
7.8,373657.015036181,217295.861905579,115096.058936756,590952.87694176
8,376754.949424147,224201.38803081,118172.623456188,600956.337454957
8.2,379313.128528684,231101.40526125,121116.531136931,610414.533789934
8.4,381379.488544924,238004.533382035,123939.998516647,619384.021926959
8.6,382970.726616392,244915.519101016,126628.345759472,627886.245717408
8.8,384112.145354896,251840.176048437,129174.3022138,635952.321403333
9,384818.401329583,258769.718571356,131587.390424037,643588.119900939
9.2,385106.847500821,265698.839173215,133873.308700817,650805.686674036
9.4,385004.378929898,272634.539001327,136024.221997891,657638.917931225
9.6,384529.524613851,279574.818891393,138044.175348123,664104.343505244
9.8,383691.474614283,286510.229546141,139950.496637838,670201.704160424
