0,7500,7500,7500
1,13748.9692256143,13748.9692256143,13748.9692256143
2,24593.0141693912,24593.0141693912,24593.0141693912
3,42008.236047947,42008.236047947,42008.236047947
4,66469.7187552404,66469.7187552404,66469.7187552404
5,94611.1837734137,94611.1837734137,94611.1837734137
6,120012.484491586,120012.484491586,120012.484491586
7,138170.809979674,138170.809979674,138170.809979674
8,149028.936236023,149028.936236023,149028.936236023
9,154826.674815131,154826.674815131,154826.674815131
10,157731.618741923,157731.618741923,157731.618741923
