0,15000,15000,15000
1,31520.1926542274,31520.1926542274,31520.1926542274
2,64375.8920811114,64375.8920811114,64375.8920811114
3,124885.2560354,124885.2560354,124885.2560354
4,222570.878136327,222570.878136327,222570.878136327
5,351936.209038387,351936.209038387,351936.209038387
6,485589.958832954,485589.958832954,485589.958832954
7,593043.306333089,593043.306333089,593043.306333089
8,663509.930422641,663509.930422641,663509.930422641
9,703800.262409609,703800.262409609,703800.262409609
10,725062.947954909,725062.947954909,725062.947954909
