0,10000,10000,10000
1,19714.1302294668,19714.1302294668,19714.1302294668
2,35492.0929242513,35492.0929242513,35492.0929242513
3,56003.5924533693,56003.5924533693,56003.5924533693
4,76140.5992508241,76140.5992508241,76140.5992508241
5,91137.0014857331,91137.0014857331,91137.0014857331
6,100165.130241283,100165.130241283,100165.130241283
7,104921.552895235,104921.552895235,104921.552895235
8,107252.194914901,107252.194914901,107252.194914901
9,108353.71083637,108353.71083637,108353.71083637
10,108865.351856659,108865.351856659,108865.351856659
