time,S,R,F,T
6.2,551700.067074303,-5529.98891052292,101371.407684673,546170.07816378
6.4,554217.104968633,-5880.74187366097,102442.344563494,548336.363094972
6.6,555065.047629483,-6238.47262884481,103372.370600465,548826.575000638
6.8,554314.889346662,-6603.62204230834,104178.607420024,547711.267304354
7,552183.515436944,-6976.8108362159,104880.161603272,545206.704600728
7.2,548815.452549491,-7358.72722524537,105491.294674099,541456.725324246
7.4,544294.487118159,-7750.08403509988,106018.486351132,536544.403083059
7.6,538821.106830377,-8151.90445252798,106479.117516082,530669.202377849
7.8,532509.682012891,-8565.0346398398,106882.008886077,523944.647373051
8,525400.356778767,-8990.087244164,107229.563976187,516410.269534603
8.2,517636.326770761,-9428.23830032491,107530.411069506,508208.088470436
8.4,509303.549809093,-9880.44190947739,107789.703201813,499423.107899616
8.6,500465.860256939,-10347.5658183679,108012.217019092,490118.294438571
8.8,491197.458868167,-10830.7281567865,108199.576176211,480366.730711381
9,481562.23509919,-11330.9624809045,108355.825506979,470231.272618285
9.2,471622.666946197,-11849.2829235573,108487.525318452,459773.384022639
9.4,461420.412567604,-12386.8111737144,108595.055486702,449033.60139389
9.6,451027.274776125,-12944.8126878329,108684.341733524,438082.462088292
9.8,440523.231894251,-13524.6504244799,108762.722050545,426998.581469771
10,429927.065290699,-14127.4855572405,108830.497663829,415799.579733458
10.2,419276.622315293,-14754.6237455456,108890.708445375,404521.998569748
10.4,408607.994836784,-15407.3874744869,108945.365081106,393200.607362298
10.6,397970.301741199,-16087.0251249796,108992.211779172,381883.27661622
10.8,387381.925734263,-16794.9801691542,109034.31018688,370586.945565108
11,376866.387276071,-17532.6705032567,109072.183182077,359333.716772814
11.2,366442.717908564,-18301.5476630626,109105.923065307,348141.170245502
11.4,356144.85636199,-19102.8059908342,109137.130825801,337042.050371156
11.6,345982.24404291,-19937.9734824658,109164.976390469,326044.270560444
11.8,335965.081383254,-20808.5330835994,109188.723810014,315156.548299654
12,326101.120301966,-21715.970784749,109207.410562101,304385.149517217
12.2,316413.993143491,-22661.7518772464,109223.642275938,293752.241266245
12.4,306918.079592699,-23647.3760627661,109238.565542481,283270.703529933
12.6,297611.594557491,-24674.392609583,109250.485333422,272937.201947908
12.8,288497.905494669,-25744.3536098944,109259.128952193,262753.551884775
13,279586.460552557,-26858.7896400481,109265.118378067,252727.670912509
13.2,270898.576209264,-28019.1820249609,109270.646784833,242879.394184303
13.4,262427.61684554,-29227.1536659922,109274.823919808,233200.463179548
13.6,254176.028681949,-30484.2915665172,109278.005011225,223691.737115431
13.8,246145.504182093,-31792.1825538776,109280.541581174,214353.321628215
14,238350.088405618,-33152.1196826421,109282.301257515,205197.968722976
14.2,230785.501035504,-34565.7894549764,109283.791747647,196219.711580528
14.4,223452.701501615,-36034.7439359269,109285.297463965,187417.957565688
14.6,216351.763350533,-37560.5379742814,109287.103953538,178791.225376251
14.8,209485.776257426,-39144.2695739696,109288.355597462,170341.506683456
15,202852.98053745,-40787.5063913763,109289.358205787,162065.474146074
15.2,196450.754835379,-42491.8160145252,109290.411634997,153958.938820854
15.4,190276.485432996,-44258.6635649939,109291.555301235,146017.821868002
15.6,184326.74950031,-46089.5079049772,109292.807280725,138237.241595333
15.8,178597.315095553,-47985.801637287,109294.16430977,130611.513458266
16,173091.286993405,-49948.1173458247,109295.547995575,123143.169647581
16.2,167801.302322241,-51978.0573745701,109296.922383425,115823.244947671
16.4,162721.194326881,-54077.0027179886,109298.216937604,108644.191608893
16.6,157845.082133528,-56246.2106570896,109299.332551932,101598.871476439
16.8,153166.417024292,-58486.9170604688,109300.147847474,94679.4999638234
17,148677.982437191,-60800.3363843088,109300.519172551,87877.646052882
17.2,144387.098469396,-63186.4615696069,109301.321073313,81200.6368997887
17.4,140280.25799414,-65646.8553398208,109302.026281761,74633.4026543189
17.6,136350.042692333,-68182.5256984357,109302.54762657,68167.516993897
