time,S,R,F,T
0,25500,4500,10000,30000
0.2,30945.7052355098,5070.92338950859,11525.4226730557,36016.6286250184
0.4,37280.1729567711,5701.16537846623,13242.591390195,42981.3383352373
0.6,44640.4017389277,6397.24720881354,15174.2772170631,51037.6489477412
0.8,53129.3290892391,7163.34289886363,17334.2463124112,60292.6719881027
1,62861.131966355,8003.96011899803,19736.9769835108,70865.092085353
1.2,73928.71699983,8922.27998724832,22388.6828770694,82850.9969870783
1.4,86427.4366487936,9921.75043444611,25297.2136916365,96349.1870832397
1.6,100415.156665861,11003.7871430153,28456.7671994203,111418.943808876
1.8,115942.758813728,12169.7728157721,31861.8774360501,128112.5316295
2,133021.588506408,13419.2919225807,35495.518933708,146440.880428989
2.2,151603.392795268,14749.8234306408,39329.6769298971,166353.216225909
2.4,171640.883328976,16158.905590163,43337.3531545964,187799.788919139
2.6,192951.018507845,17639.2897435627,47469.8839975693,210590.308251408
2.8,215488.769011401,19188.6078623703,51700.8613554455,234677.376873771
3,238887.509076772,20793.8500239879,55962.6509721239,259681.35910076
3.2,263031.516325642,22450.2220831507,60218.5022403921,285481.738408792
3.4,287530.089159901,24144.4907899058,64411.7764258309,311674.579949807
3.6,312094.583385429,25866.4876120029,68491.5505578277,337961.070997432
3.8,336387.042595715,27605.0445308326,72417.1732185034,363992.087126547
4,360029.601515325,29347.8883931829,76148.2843177352,389377.489908507
4.2,382719.850602823,31085.1166623934,79651.4543202272,413804.967265216
4.4,404140.538057181,32807.2624186359,82916.0942674061,436947.800475816
4.6,424010.305096195,34505.2867082855,85915.8986932421,458515.59180448
4.8,442247.515739761,36177.8869413524,88681.2050847464,478425.402681113
5,458508.843406122,37813.9963686443,91178.1584766592,496322.839774766
5.2,472716.878987773,39412.036437747,93418.2457118306,512128.91542552
5.4,484955.323839943,40976.0527133024,95434.7170978998,525931.376553245
5.6,494962.491372822,42498.0338010207,97214.1665165175,537460.525173842
5.8,502915.621718281,43985.0188313128,98786.3809746023,546900.640549594
6,508917.195568801,45441.502094344,100174.893525446,554358.697663145
6.2,512867.313896931,46865.0887962998,101386.307274848,559732.402693231
6.4,515092.114086778,48267.8028066828,102446.8983922,563359.916893461
6.6,515641.806298061,49652.3453668181,103373.208803624,565294.151664879
6.8,514588.231056776,51022.1541957907,104181.674509962,565610.385252567
7,512217.375789344,52388.006710225,104880.261886596,564605.382499569
7.2,508605.417680024,53753.4721169107,105487.8670498,562358.889796934
7.4,503876.772260171,55123.8105196406,106016.016235547,559000.582779811
7.6,498114.207957777,56502.9359720826,106466.161234219,554617.14392986
7.8,491472.112346145,57897.077285756,106857.078526857,549369.189631901
8,484078.53681677,59311.612076828,107201.173864984,543390.148893598
8.2,475975.613319734,60749.0069810231,107492.715366477,536724.620300757
8.4,467282.721912206,62214.3458266971,107742.278260191,529497.067738903
8.6,458121.883292413,63712.80190804,107960.995215524,521834.685200453
8.8,448563.883597289,65247.7210538197,108152.220839434,513811.604651109
9,438619.124216458,66820.2584909123,108311.361364381,505439.38270737
9.2,428418.706716162,68435.9481353004,108449.710647573,496854.654851463
9.4,418047.811121898,70098.6579886666,108572.517946883,488146.469110564
9.6,407474.153282949,71807.2645498156,108674.845551853,479281.417832764
9.8,396786.611039081,73565.7929547256,108762.263409761,470352.403993806
10,386057.723317238,75377.5740363712,108838.9244913,461435.297353609
10.2,375312.19660959,77243.4674861734,108905.592434346,452555.664095764
10.4,364540.668952796,79162.4796194609,108960.778313556,443703.148572257
10.6,353819.846700847,81138.2989996797,109008.683931945,434958.145700527
10.8,343192.289893422,83172.7565785454,109051.253381383,426365.046471968
11,332651.9791929,85263.3657068882,109087.799061496,417915.344899788
11.2,322228.949756766,87411.4476968357,109119.377429884,409640.397453602
11.4,311941.301376441,89617.102727741,109146.453929969,401558.404104183
11.6,301801.158277539,91879.9746092987,109169.144399707,393681.132886838
11.8,291835.596480067,94198.4236423104,109188.804385939,386034.020122377
12,282066.677959834,96570.5641891374,109206.468647218,378637.242148972
12.2,272494.023753188,98995.1703021573,109221.489096287,371489.194055346
12.4,263124.077155039,101470.154994772,109233.821963596,364594.232149811
12.6,253965.51419676,103992.948281039,109243.640142069,357958.462477799
12.8,245050.520223432,106559.968224215,109252.87648892,351610.488447648
13,236371.38700446,109168.197179514,109260.624881316,345539.584183974
13.2,227932.781470688,111813.882354613,109266.931542217,339746.663825302
13.4,219737.653261298,114492.88615847,109271.772840781,334230.539419768
13.6,211801.498239342,117200.750943705,109276.063904425,329002.249183047
13.8,204125.896702185,119932.578896007,109279.787433567,324058.475598192
14,196711.253031573,122683.089859661,109282.894557003,319394.342891234
14.2,189559.037860313,125446.631514788,109285.463381622,315005.669375101
14.4,182669.896824074,128217.028476485,109287.623347071,310886.925300558
14.6,176043.567370527,130987.623442194,109289.532393656,307031.190812721
14.8,169678.146668643,133751.639294136,109291.176036796,303429.785962779
15,163570.88537569,136501.786490911,109292.585219898,300072.671866601
15.2,157718.14297824,139230.537840337,109293.77789324,296948.680818577
15.4,152119.094040545,141933.147442829,109294.889751214,294052.241483374
15.6,146766.952083464,144600.502057534,109295.864656235,291367.454140998
15.8,141655.760817644,147224.652935714,109296.694198269,288880.413753358
16,136778.618784372,149797.369692958,109297.355069361,286575.98847733
16.2,132138.061723447,152316.805707205,109298.104280314,284454.867430653
16.4,127726.211020828,154774.753579215,109298.914693174,282500.964600043
16.6,123531.39836111,157160.898107037,109299.663389419,280692.296468147
16.8,119544.778820698,159467.061839504,109300.319709488,279011.840660201
17,115756.705973603,161684.877922829,109300.842180983,277441.583896433
17.2,112156.731891446,163805.790100613,109301.178518668,275962.52199206
17.4,108733.607143451,165821.05271384,109301.265624475,274554.659857292
17.6,105497.615672972,167737.645249389,109301.467476987,273235.260922362
17.8,102442.270313871,169550.978767933,109301.824147628,271993.249081804
18,99547.5616072194,171247.210823874,109302.115495782,270794.772431094
18.2,96803.4500444147,172819.984686735,109302.321749197,269623.43473115
18.4,94199.4417159545,174263.001547982,109302.419127926,268462.443263937
18.6,91724.5883114343,175570.020521028,109302.379844338,267294.608832463
18.8,89367.4871195483,176734.858641232,109302.172103108,266102.34576078
19,87139.5130464561,177773.966774203,109302.000503524,264913.479820659
19.2,85040.8929054604,178690.418981776,109301.950749579,263731.311887237
19.4,83049.712699559,179466.136334557,109301.879938652,262515.849034116
19.6,81158.2228119138,180097.322277091,109301.792459689,261255.545089005
19.8,79358.6736256867,180580.180253926,109301.692701635,259938.853879613
20,77643.3155240394,180910.91370961,109301.585053434,258554.229233649
20.2,76005.2949860338,181087.340188675,109301.473866545,257092.635174709
20.4,74464.9248289266,181156.210821985,109301.362355955,255621.135650912
20.6,72998.1283712877,181084.319796976,109301.255593631,254082.448168263
20.8,71598.8272483477,180870.880914497,109301.157898604,252469.708162844
21,70260.9430953374,180515.107975397,109301.073589904,250776.051070735
21.2,68978.3975474874,180016.214780527,109301.006986561,248994.612328015
21.4,67745.1122400285,179373.415130736,109300.962407604,247118.527370764
21.6,66570.6361268377,178607.756155805,109300.919449704,245178.392282643
21.8,65458.2464187237,177731.522571921,109300.867631404,243189.768990645
22,64392.1612981727,176730.371236457,109300.826622561,241122.53253463
22.2,63368.2034176912,175606.171910408,109300.797734803,238974.375328099
22.4,62382.1954297856,174360.794354768,109300.782279757,236742.989784553
22.6,61429.9599869623,172996.108330529,109300.781569051,234426.068317492
22.8,60507.319741728,171513.983598687,109300.796914313,232021.303340415
23,59635.5737217851,169947.430406599,109300.79505035,229583.004128384
23.2,58796.0724034639,168280.628769311,109300.796930589,227076.701172775
23.4,57986.0172990447,166517.133866708,109300.801995253,224503.151165752
23.6,57202.6849954503,164660.592644508,109300.809582675,221863.277639958
23.8,56443.3520796034,162714.652048431,109300.819031186,219158.004128034
24,55705.2951384267,160682.959024197,109300.829679118,216388.254162624
24.2,54990.9687636318,158573.381339312,109300.839936163,213564.350102944
24.4,54303.4682557769,156394.309031535,109300.848097105,210697.777287312
24.6,53637.3989953634,154147.211627536,109300.853979339,207784.610622899
24.8,52991.4364499325,151836.876362785,109300.856670317,204828.312812718
25,52364.2560870255,149468.090472754,109300.855257491,201832.34655978
