time,S,R,F,T
0,7500,22500,10000,30000
0.2,10047.6480276679,25430.3081604687,11520.1526128345,35477.9561881366
0.4,13181.7523779054,28712.1067125614,13234.626507424,41893.8590904668
0.6,17026.4410632411,32389.6439281133,15163.1912462093,49416.0849913544
0.8,21711.2534601594,36503.7745175434,17321.8174598698,58215.0279777028
1,27383.0459619457,41095.5156675538,19722.7641148212,68478.5616294995
1.2,34202.7533914822,46205.9149894095,22374.7704989733,80408.6683808918
1.4,42342.3974910559,51875.2193262688,25282.9549049709,94217.6168173246
1.6,51991.9857550934,58141.5722047246,28445.4432224025,110133.557959818
1.8,63348.9880569669,65036.7128671701,31851.4143365335,128385.700924137
2,76603.7595267135,72581.1854769154,35481.3054930365,149184.945003629
2.2,91948.3711845945,80793.4059693343,39312.9485991624,172741.777153929
2.4,109550.852333776,89682.1644542511,43321.3453835951,199233.016788027
2.6,129537.368702912,99218.0148508345,47455.5187588476,228755.383553747
2.8,152062.525824217,109404.437373136,51689.4021729305,261466.963197353
3,177067.224739032,120137.48764687,55953.543402858,297204.712385901
3.2,204692.208838444,131408.016215191,60213.2462383388,336100.225053635
3.4,234632.837070828,143048.305079871,64407.4831567175,377681.142150699
3.6,266897.206068431,154996.585364047,68488.4828316116,421893.791432478
3.8,301104.46156991,167088.647993349,72415.9053749873,468193.109563259
4,336921.7359539,179171.325039763,76147.1913514145,516093.060993663
4.2,374029.544583278,191107.277929059,79647.7642552137,565136.822512336
4.4,411781.323618963,202698.605908999,82907.0614862138,614479.929527963
4.6,449703.30829983,213784.620946329,85904.2509796459,663487.929246159
4.8,487338.809320432,224255.519940116,88643.0748402331,711594.329260548
5,524069.825451344,233948.717994696,91127.061021418,758018.54344604
5.2,559605.648167257,242816.604044474,93362.781621133,802422.252211731
5.4,593443.267321094,250765.631807785,95370.1203848958,844208.89912888
5.6,625364.607204477,257776.941907504,97160.1179438322,883141.549111982
5.8,655190.565038758,263855.457646639,98749.7071267616,919046.022685396
6,682792.820996989,269019.429900845,100156.931110758,951812.250897834
6.2,708194.769084646,273315.120974686,101392.641802609,981509.890059331
6.4,731437.586811214,276810.003308959,102475.362570802,1008247.59012017
6.6,752571.441100076,279546.348277443,103417.487452462,1032117.78937752
6.8,771776.258865271,281617.804210037,104234.332736557,1053394.06307531
7,789016.092435084,283038.614180701,104940.509497369,1072054.70661578
7.2,804543.618692331,283910.139741334,105549.899756312,1088453.75843367
7.4,818548.692554358,284308.928614348,106075.801190803,1102857.62116871
7.6,831043.812419249,284256.28796425,106527.704381992,1115300.1003835
7.8,842276.554172553,283836.927956074,106917.992348457,1126113.48212863
8,852405.699893216,283107.308607073,107256.15716942,1135513.00850029
8.2,861470.195351778,282090.673936196,107546.927707563,1143560.86928797
8.4,869655.027523523,280842.903032522,107798.258053795,1150497.93055604
8.6,877064.499009591,279399.311813494,108015.456570268,1156463.81082308
8.8,883740.427700169,277781.892817013,108202.602632196,1161522.32051718
9,889787.113542454,276018.681309333,108362.612716818,1165805.79485179
9.2,895287.236719647,274135.050267034,108498.799287375,1169422.28698668
9.4,900326.352331485,272157.311973535,108614.811753508,1172483.66430502
9.6,904960.554473739,270098.472411746,108711.198526929,1175059.02688549
9.8,909255.313658585,267977.802301245,108791.412375642,1177233.11595983
10,913271.25372555,265812.911447315,108859.033065241,1179084.16517286
10.2,917055.00153929,263613.338604478,108914.981009333,1180668.34014377
10.4,920632.097905354,261391.828475977,108962.733614564,1182023.92638133
10.6,924034.080615324,259156.174340668,109004.254196026,1183190.25495599
10.8,927290.6601065,256910.74719188,109040.792385042,1184201.40729838
11,930419.892358902,254658.41628337,109073.88941388,1185078.30864227
11.2,933435.419354402,252401.478502298,109104.613489729,1185836.8978567
11.4,936367.040748302,250156.74711986,109131.260174806,1186523.78786816
11.6,939206.272998255,247915.620922026,109155.438100382,1187121.89392028
11.8,941950.278455457,245676.304979754,109177.158320034,1187626.58343521
12,944590.086199766,243435.170958195,109196.151052518,1188025.25715796
12.2,947160.134235316,241202.390329239,109213.343028268,1188362.52456455
12.4,949694.189937668,238988.024914936,109229.543038707,1188682.2148526
12.6,952159.727595858,236781.319492097,109243.485076908,1188941.04708796
12.8,954551.716490982,234580.296947483,109254.625094728,1189132.01343847
13,956862.183621125,232382.153689534,109262.233364364,1189244.33731066
13.2,959153.564971115,230205.488433918,109270.144926171,1189359.05340503
13.4,961403.895916666,228043.38782402,109276.733655782,1189447.28374069
13.6,963611.405343372,225895.123227034,109281.686092371,1189506.52857041
13.8,965777.984360867,223761.140999176,109284.930823102,1189539.12536004
14,967908.838298975,221642.837728993,109286.83261944,1189551.67602797
14.2,970015.854615308,219543.478788927,109288.595955522,1189559.33340423
14.4,972096.978846847,217462.573403082,109289.793983579,1189559.55224993
14.6,974155.490269808,215401.131824587,109290.678004332,1189556.6220944
14.8,976194.49071064,213360.16223281,109291.517156118,1189554.65294345
15,978211.809104996,211337.722790407,109292.057069244,1189549.5318954
15.2,980208.475024852,209333.823961763,109292.420103471,1189542.29898661
15.4,982186.60319332,207349.204609197,109292.880596378,1189535.80780252
15.6,984146.5669762,205383.696730063,109293.564571785,1189530.26370626
15.8,986086.518860153,203436.191551284,109294.381853765,1189522.71041144
16,987994.504873031,201500.777362179,109293.812715907,1189495.28223521
16.2,989884.517387209,199582.983434721,109293.247670672,1189467.50082193
16.4,991757.752830599,197682.840798875,109292.765071381,1189440.59362947
16.6,993615.407631108,195800.38048461,109292.443271354,1189415.78811572
16.8,995458.678216647,193935.633521891,109292.360623913,1189394.31173854
17,997288.761015124,192088.630940686,109292.595482377,1189377.39195581
17.2,999106.85245445,190259.403770961,109293.226200067,1189366.25622541
17.4,1000914.14896253,188447.983042684,109294.331130304,1189362.13200522
17.6,1002703.21013447,186652.392211913,109295.290721805,1189355.60234638
17.8,1004465.83878072,184870.478825195,109295.424270839,1189336.31760592
18,1006213.24106454,183104.600608391,109295.618973565,1189317.84167293
18.2,1007945.82086838,181354.604369593,109295.889141179,1189300.42523797
18.4,1009663.98207472,179620.33691689,109296.249084878,1189284.31899161
18.6,1011368.12856601,177901.645058373,109296.713115861,1189269.77362439
18.8,1013058.66422474,176198.375602132,109297.295545324,1189257.03982688
19,1014735.99293337,174510.375356257,109298.010684464,1189246.36828963
19.2,1016400.51857436,172837.491128839,109298.872844479,1189238.0097032
19.4,1018046.91943204,171179.213305485,109299.491264683,1189226.13273752
19.6,1019676.31421977,169535.433193009,109299.930828789,1189211.74741278
19.8,1021291.04927277,167906.11851854,109300.343271712,1189197.16779131
20,1022891.23349719,166291.097727688,109300.722035807,1189182.33122487
20.2,1024476.97579918,164690.19926606,109301.060563427,1189167.17506524
20.4,1026048.3850849,163103.251579265,109301.352296926,1189151.63666416
20.6,1027605.57026049,161530.083112912,109301.590678659,1189135.65337341
20.8,1029148.64023212,159970.52231261,109301.769150977,1189119.16254473
21,1030677.70390593,158424.397623967,109301.881156237,1189102.1015299
21.2,1032193.05278066,156892.535792917,109302.043640361,1189085.58857357
21.4,1033694.68040809,155374.134580652,109302.172021311,1189068.81498874
21.6,1035182.69649934,153869.026833721,109302.260285897,1189051.72333306
21.8,1036657.21632948,152377.075819013,109302.306184347,1189034.29214849
22,1038118.35517359,150898.144803415,109302.30746689,1189016.49997701
22.2,1039566.22830677,149432.097053813,109302.261883754,1188998.32536059
22.4,1041000.9510041,147978.795837096,109302.167185166,1188979.7468412
22.6,1042422.63854066,146538.10442015,109302.021121354,1188960.74296081
22.8,1043831.65593965,145110.013654173,109301.854258091,1188941.66959383
23,1045228.84991327,143694.760462113,109301.760452461,1188923.61037538
23.2,1046613.73586245,142291.901663994,109301.658634494,1188905.63752645
23.4,1047986.46732613,140901.320073856,109301.551582077,1188887.78739998
23.6,1049347.19784321,139522.898505741,109301.442073099,1188870.09634895
23.8,1050696.08095262,138156.519773692,109301.332885447,1188852.60072632
24,1052033.27019329,136802.066691751,109301.22679701,1188835.33688504
24.2,1053358.91910413,135459.422073961,109301.126585675,1188818.34117809
24.4,1054673.18122407,134128.468734362,109301.035029331,1188801.64995843
24.6,1055976.08132568,132809.220513529,109300.958600355,1188785.30183921
24.8,1057267.57672095,131501.759896747,109300.905706665,1188769.3366177
