time,S,R,F,T
0,29970,30,10000,30000
0.2,36150.1511014819,16.489152201725,11517.4992368569,36166.6402536836
0.4,43469.8122943922,-1.33664404102064,13230.898746238,43468.4756503512
0.6,52128.1176087863,-24.3869301113562,15159.3440074277,52103.7306786749
0.8,62334.6462998986,-53.6509325175482,17318.1160628401,62280.9953673811
1,74317.0893374812,-90.2220564031194,19719.8178020963,74226.8672810781
1.2,88318.7566825614,-135.292669324963,22372.9599794794,88183.4640132364
1.4,104596.71786636,-190.144583886948,25282.1816698597,104406.573282473
1.6,123408.778526931,-256.107724255899,28444.8268704493,123152.670802675
1.8,145014.231061377,-334.55573236713,31853.3155940977,144679.67532901
2,169647.697873227,-426.814641910594,35490.5488101854,169220.883231316
2.2,197511.089416942,-534.122577761911,39332.8831443247,196976.96683918
2.4,228760.077395897,-657.583080754139,43347.4721487462,228102.494315142
2.6,263450.527400881,-797.942271075414,47495.3850673069,262652.585129805
2.8,301589.556082068,-955.797910564865,51729.7374220531,300633.758171503
3,343004.61996677,-1131.04451447025,56003.1554750439,341873.575452299
3.2,387473.799241912,-1323.41786363428,60260.8297455138,386150.381378277
3.4,434576.32298914,-1531.79189091287,64455.6907553816,433044.531098227
3.6,483841.648172862,-1754.9321095899,68528.4147675266,482086.716063272
3.8,534633.341808207,-1990.71446068936,72447.6218883412,532642.627347518
4,586217.37563678,-2236.74520801175,76165.6037767817,583980.630428768
4.2,637878.359421506,-2490.41863187996,79658.627668144,635387.940789626
4.4,688807.562672134,-2748.6880797819,82908.5158593424,686058.874592353
4.6,738250.07646153,-3008.58511073218,85901.6794079549,735241.491350797
4.8,785645.10360836,-3267.61736820306,88639.3174411846,782377.486240157
5,830305.106432895,-3522.77841698798,91124.8284731383,826782.328015907
5.2,872026.068738409,-3772.7051088165,93364.401219203,868253.363629592
5.4,910395.739947693,-4015.11531579291,95376.1527065417,906380.6246319
5.6,945427.44248549,-4249.45533972119,97166.495078372,941177.987145768
5.8,977103.672544114,-4474.77286172439,98757.6093388094,972628.89968239
6,1005425.71734212,-4690.59766182865,100156.544578602,1000735.11968029
6.2,1030604.31301565,-4896.95396631137,101381.149738148,1025707.35904934
6.4,1052955.96182158,-5094.23085692071,102451.658480175,1047861.73096466
6.6,1072490.55268389,-5282.24894296212,103381.593860239,1067208.30374093
6.8,1089655.93655224,-5461.98677423444,104191.785472666,1084193.94977801
7,1104750.55804551,-5634.12281134539,104898.909605168,1099116.43523417
7.2,1117771.41973888,-5798.49090876869,105509.589967822,1111972.92883011
7.4,1129116.00762864,-5956.23139063322,106041.265109104,1123159.776238
7.6,1138956.05509259,-6107.78134559169,106503.510900155,1132848.273747
7.8,1147379.82514212,-6253.32528385247,106902.280149079,1141126.49985827
8,1154605.63851837,-6393.61412700456,107246.360051156,1148212.02439136
8.2,1160774.52787296,-6529.03123946674,107542.746799372,1154245.49663349
8.4,1166014.93238912,-6660.0058768974,107796.641199763,1159354.92651223
8.6,1170442.09901153,-6787.00268902706,108011.527835665,1163655.0963225
8.8,1174187.53578065,-6910.36336456262,108195.392675355,1167277.17241609
9,1177340.87825437,-7030.47282444974,108350.644523059,1170310.40542992
9.2,1179995.45504694,-7147.67253759017,108481.440611053,1172847.78250935
9.4,1182263.43956488,-7262.27762256302,108595.641043146,1175001.16194231
9.6,1184198.13762532,-7374.58242056372,108693.806519914,1176823.55520475
9.8,1185859.81802523,-7484.85601676162,108778.515884256,1178374.96200847
10,1187297.68867228,-7593.3434665155,108851.815053951,1179704.34520576
10.2,1188551.89337925,-7700.07549972298,108916.016254006,1180851.81787953
10.4,1189650.10327299,-7805.1933614953,108972.333701842,1181844.9099115
10.6,1190608.59796614,-7908.84577587543,109021.316354594,1182699.75219026
10.8,1191433.14357992,-8011.10526976338,109063.199344505,1183422.03831015
11,1192142.49720384,-8112.06037232539,109098.88332539,1184030.43683152
11.2,1192810.75168624,-8211.90142720389,109131.988998398,1184598.85025903
11.4,1193395.11987459,-8310.57159527926,109160.501380183,1185084.54827931
11.6,1193887.59021914,-8408.07418651287,109184.127977068,1185479.51603263
11.8,1194272.72854224,-8504.38714474242,109202.251370229,1185768.3413975
12,1194637.30618197,-8599.78473769816,109218.829271981,1186037.52144427
12.2,1194969.82454945,-8694.24928699942,109233.433861833,1186275.57526245
12.4,1195249.71546283,-8787.73291532957,109245.238779637,1186461.9825475
12.6,1195472.69197411,-8880.23193525297,109254.152233151,1186592.46003886
12.8,1195650.23046854,-8971.7879552019,109260.729667735,1186678.44251333
13,1195827.17530114,-9062.54201625604,109266.900066109,1186764.63328488
13.2,1195981.78119019,-9152.42720818316,109271.842081003,1186829.35398201
13.4,1196117.82327772,-9241.45192107016,109275.784142869,1186876.37135665
13.6,1196238.4868276,-9329.61955240427,109278.927248994,1186908.8672752
13.8,1196351.35897778,-9416.99372682432,109281.539528524,1186934.36525096
14,1196458.76160392,-9503.57199012643,109283.77310578,1186955.18961379
14.2,1196563.0197333,-9589.35464373928,109285.763906425,1186973.66508956
14.4,1196666.69079497,-9674.34773999232,109287.636000443,1186992.34305498
14.6,1196754.15139797,-9758.5618216763,109288.587376233,1186995.58957629
14.8,1196808.4904016,-9842.03204832932,109287.783261906,1186966.45835328
15,1196860.21219298,-9924.77262238297,109286.791609876,1186935.4395706
15.2,1196912.07671662,-10006.7997610286,109285.760608814,1186905.2769556
15.4,1196966.84391704,-10088.1296814574,109284.838447392,1186878.71423558
15.6,1197027.27373874,-10168.7786008609,109284.173314281,1186858.49513788
15.8,1197096.12612626,-10248.7627364303,109283.913398154,1186847.36338982
16,1197176.16102409,-10328.0983053569,109284.206887682,1186848.06271873
16.2,1197270.13837675,-10406.8015248321,109285.201971537,1186863.33685192
16.4,1197380.81812878,-10484.8886120471,109287.04683839,1186895.92951673
16.6,1197495.2267347,-10562.3247296761,109289.080502543,1186932.90200503
16.8,1197562.81899328,-10638.9531219406,109288.709665695,1186923.86587134
17,1197632.40985953,-10714.9394526157,109288.451128582,1186917.47040691
17.2,1197704.73732034,-10790.2933777249,109288.349090467,1186914.44394262
17.4,1197780.53936262,-10865.0245532915,109288.447750617,1186915.51480933
17.6,1197860.55397326,-10939.142635339,109288.791308297,1186921.41133792
17.8,1197945.51913917,-11012.6572798906,109289.423962773,1186932.86185928
18,1198036.17284725,-11085.5781429699,109290.389913309,1186950.59470428
18.2,1198133.25308439,-11157.9148806001,109291.733359172,1186975.33820379
18.4,1198237.49783749,-11229.6771488046,109293.498499626,1187007.82068869
18.6,1198347.39869736,-11300.8632863328,109295.605871552,1187046.53541103
18.8,1198431.93038824,-11371.3229268735,109296.351130933,1187060.60746137
19,1198515.75534264,-11441.1862570668,109297.095499441,1187074.56908557
19.2,1198598.71264927,-11510.4584043149,109297.833692687,1187088.25424496
19.4,1198680.64139684,-11579.14449602,109298.560426277,1187101.49690082
19.6,1198761.38067408,-11647.249659584,109299.270415821,1187114.13101449
19.8,1198840.76956968,-11714.7790224093,109299.958376928,1187125.99054727
20,1198918.64717238,-11781.7377118978,109300.619025206,1187136.90946048
20.2,1198994.85257087,-11848.1308554517,109301.247076264,1187146.72171542
20.4,1199069.22485388,-11913.9635804732,109301.83724571,1187155.2612734
20.6,1199141.60311011,-11979.2410143643,109302.384249154,1187162.36209575
20.8,1199213.56950963,-12043.9557399577,109302.85406689,1187169.61376967
21,1199283.8764535,-12108.1207053051,109303.25932896,1187175.7557482
21.2,1199352.28787677,-12171.7415786731,109303.595989904,1187180.5462981
21.4,1199418.69101578,-12234.823140956,109303.857971603,1187183.86787482
21.6,1199482.97310686,-12297.3701730481,109304.039195934,1187185.60293381
21.8,1199545.02138636,-12359.3874558439,109304.133584774,1187185.63393052
22,1199604.72309061,-12420.8797702376,109304.135060003,1187183.84332037
22.2,1199661.96545596,-12481.8518971237,109304.037543497,1187180.11355884
22.4,1199716.63571874,-12542.3086173964,109303.834957135,1187174.32710135
22.6,1199768.6211153,-12602.25471195,109303.521222796,1187166.36640335
22.8,1199823.22595374,-12661.6962448879,109303.3543248,1187161.52970885
23,1199878.25025166,-12720.637502679,109303.226440742,1187157.61274898
23.2,1199932.41805857,-12779.0829906791,109303.074791397,1187153.33506789
23.4,1199985.79830875,-12837.0375328237,109302.902155751,1187148.76077593
23.6,1200038.45993648,-12894.5059530481,109302.711312794,1187143.95398343
23.8,1200090.47187603,-12951.4930752878,109302.505041512,1187138.97880074
24,1200141.90306167,-13008.0037234781,109302.286120895,1187133.89933819
