time,S,R,F,T
8.4,1078581.10327603,78373.0284640138,107777.426574061,1156954.13174004
8.6,1083764.77094652,77791.69349303,107990.629860818,1161556.46443955
8.8,1088240.02840607,77171.0730642469,108172.373022887,1165411.10147032
9,1092187.54972749,76525.1900455564,108329.876632384,1168712.73977304
9.2,1095659.59349179,75857.0410037616,108465.129521663,1171516.63449556
9.4,1098699.38368831,75168.8967324276,108579.639777526,1173868.28042074
9.6,1101435.73380418,74469.9036614535,108679.469845387,1175905.63746564
9.8,1103820.00459205,73755.5967433152,108762.492865405,1177575.60133537
10,1105937.26118826,73031.6460526625,108832.517468487,1178968.90724092
10.2,1107887.36089124,72304.8429465281,108894.008948688,1180192.20383776
10.4,1109739.74921917,71579.6734939672,108950.082540806,1181319.42271314
10.6,1111432.45537943,70852.2671898855,108998.350966371,1182284.72256932
10.8,1112924.86238238,70120.1113868012,109037.321048896,1183044.97376919
11,1114331.27713728,69390.54482509,109071.986407975,1183721.82196237
11.2,1115687.06473208,68665.8864482779,109104.035301663,1184352.95118036
11.4,1116985.36546925,67945.4938277535,109133.246803341,1184930.85929701
11.6,1118144.98368174,67223.5110929405,109156.038901382,1185368.49477468
11.8,1119245.93689963,66505.388819563,109176.118804488,1185751.3257192
12,1120302.98506649,65792.0008401825,109194.243113504,1186094.98590668
12.2,1121327.11387977,65083.9399612877,109210.975957069,1186411.05384105
12.4,1122273.23748275,64377.6239652273,109224.022027689,1186650.86144798
12.6,1123178.23881513,63675.5739376886,109235.26611492,1186853.81275282
12.8,1124049.0613126,62978.0817029488,109245.066207417,1187027.14301555
13,1124892.64841086,62285.439085285,109253.780293833,1187178.08749615
13.2,1125699.50558305,61597.0397593754,109260.83823393,1187296.54534243
13.4,1126478.42607843,60913.276620983,109266.702461508,1187391.70269941
13.6,1127235.99752028,60234.4220532431,109271.710875155,1187470.41957353
13.8,1127976.70494624,59560.6335566538,109276.082656158,1187537.3385029
14,1128682.85061178,58891.2752741799,109278.960768377,1187574.12588596
14.2,1129358.74712438,58226.4985394308,109280.556027499,1187585.24566381
14.4,1130019.64151893,57566.845751046,109281.609742693,1187586.48726998
14.6,1130669.00873448,56912.4382837881,109282.292089413,1187581.44701827
14.8,1131310.32371005,56263.3975124198,109282.773243116,1187573.72122247
15,1131947.06138469,55619.8448117039,109283.223379258,1187566.90619639
15.2,1132582.69669743,54981.9015564031,109283.812673295,1187564.59825384
15.4,1133220.70458731,54349.6891212801,109284.711300681,1187570.39370859
15.6,1133864.55999337,53723.3288810975,109286.089436874,1187587.88887447
15.8,1134517.73785464,53102.9422106182,109288.117257329,1187620.68006526
16,1135129.40351835,52486.1828057934,109288.371344193,1187615.58632414
16.2,1135721.57564077,51874.0146170088,109287.90744137,1187595.59025778
16.4,1136310.57069798,51267.1425032285,109287.508981081,1187577.71320121
16.6,1136897.89052626,50665.5981868408,109287.25191185,1187563.4887131
