time,S,R,F,T
0,25500,4500,10000,30000
0.2,30993.9670896653,5073.36079076377,11524.5221558119,36067.3278804291
0.4,37504.1012591367,5712.00348972811,13241.1464130438,43216.1047488648
0.6,45229.1353135556,6424.34994179974,15171.9901478074,51653.4852553553
0.8,54366.2745654907,7217.07392752471,17331.2693740606,61583.3484930154
1,65125.6759892567,8097.17672758332,19733.3676830349,73222.85271684
1.2,77741.4493450054,9070.96608166912,22385.772655418,86812.4154266745
1.4,92449.3902596413,10144.3127652836,25293.2604234366,102593.703024925
1.6,109499.400914286,11322.5156682571,28455.6513440932,120821.916582543
1.8,129138.768060095,12608.4359795215,31859.8055097196,141747.204039617
2,151597.823804294,14004.7121991221,35494.1225134543,165602.536003417
2.2,177085.877651391,15510.6118554297,39332.1780796901,192596.489506821
2.4,205686.277689977,17118.4389779068,43332.9592555786,222804.716667884
2.6,237583.798759624,18826.8362657376,47471.3664532756,256410.635025362
2.8,272718.013178234,20622.2765821095,51698.2939035367,293340.289760343
3,311014.984421231,22490.4367810048,55962.7079097503,333505.421202236
3.2,352360.958466852,24417.2894604062,60221.6290446818,376778.247927258
3.4,396241.884966442,26372.910819699,64413.6888137636,422614.795786141
3.6,442522.683822058,28342.5690770897,68495.1085857083,470865.252899147
3.8,490284.237310831,30288.3769893351,72423.4668161769,520572.614300166
4,539255.911132686,32190.3804317035,76149.6588991327,571446.29156439
4.2,588481.09388167,34017.4855793154,79661.1798049342,622498.579460986
4.4,637374.033844587,35743.0742931785,82919.9043859264,673117.108137766
4.6,685243.593541471,37348.215733835,85929.604291428,722591.809275306
4.8,731380.976057028,38812.7302231161,88691.2693205899,770193.706280144
5,775202.219975889,40116.014960687,91186.6453981355,815318.234936576
5.2,816582.288476578,41269.3706533677,93448.4049126204,857851.659129946
5.4,854851.874956379,42250.40560008,95463.8929399605,897102.280556459
5.6,890035.445368769,43071.1747409412,97255.5429805069,933106.62010971
5.8,921989.022230756,43736.0081760968,98838.9737832015,965725.030406853
