time,S,R,F,T
0,22500,7500,10000,30000
0.2,27460.6341733813,8463.09101492157,11524.9508144223,35923.7251883029
0.4,33252.7243694914,9528.41650713918,13241.8914783403,42781.1408766305
0.6,40005.7052821558,10707.4292313447,15173.2937081738,50713.1345135005
0.8,47820.420352689,12007.8030650667,17332.9304639702,59828.2234177557
1,56808.547723168,13437.9386979589,19735.5870005805,70246.4864211269
1.2,67062.7160286526,15003.9403610196,22387.1607632331,82066.6563896722
1.4,78676.5098901588,16712.3644304819,25295.3094162389,95388.8743206407
1.6,91716.0909186842,18566.9313603605,28455.6651311355,110283.022279045
1.8,106227.983564016,20570.215119504,31860.1528210898,126798.19868352
2,122241.407204225,22723.3265030665,35494.927936054,144964.733707291
2.2,139707.212957429,25022.0252232724,39328.7151983927,164729.238180701
2.4,158586.118507619,27462.9515727878,43335.2604575077,186049.070080406
2.6,178734.305597196,30035.811141446,47468.9951526989,208770.116738642
2.8,200086.500400952,32735.6179789712,51699.7079497912,232822.118379923
3,222323.845621097,35541.6785063398,55962.0717534475,257865.524127437
3.2,245347.465425117,38446.805300697,60220.0893610763,283794.270725814
3.4,268721.770633839,41424.1592763447,64411.9165886286,310145.929910184
3.6,292255.749910924,44461.0075746779,68491.3489194936,336716.757485601
3.8,315557.699230356,47533.8704794845,72418.1681025874,363091.569709841
4,338302.583642192,50622.7061855613,76147.1648021184,388925.289827754
4.2,360180.841838999,53709.122472849,79653.0063177987,413889.964311848
4.4,380866.426586821,56774.0274865302,82915.3111267562,437640.454073352
4.6,400123.997932111,59803.5095245645,85921.0625263927,459927.507456676
4.8,417796.545931864,62789.0609876868,88686.7173393925,480585.606919551
5,433557.600714152,65711.0832522435,91179.8749367067,499268.683966396
5.2,447402.432093014,68570.1475416767,93424.5750888175,515972.57963469
5.4,459293.524014977,71364.7912293829,95439.9855885512,530658.31524436
5.6,468989.705938824,74080.9181145814,97215.0111858696,543070.624053405
5.8,476771.558193377,76736.2514141695,98791.0989495557,553507.809607546
6,482612.387835611,79329.8433964563,100181.87557876,561942.231232067
6.2,486437.518100418,81857.830672721,101396.623341182,568295.348773139
6.4,488626.630198117,84344.1222294385,102461.795801643,572970.752427556
6.6,489130.510788743,86786.3872546347,103391.122953919,575916.898043377
6.8,488051.791468562,89191.6043058045,104201.080432513,577243.395774366
7,485642.446468561,91576.0105211683,104901.580393168,577218.456989729
7.2,481968.005522223,93944.2833938249,105510.811529216,575912.288916048
